   R      RHORP      DRHORP     RHORN    DRHORN
   .05   .1017      .01265     .0862     .01067
   .15   .1033      .0048      .0896     .00415
   .25   .1017      .00287     .0903     .00254
   .35   .0994      .002007    .0911     .001829
   .45   .0992      .001537    .0943     .001452
   .55   .094       .001201    .0934     .001184
   .65   .091      9.78E-4     .0948     .001007
   .75   .0875     8.08E-4     .0957    8.72E-4
   .85   .0842     6.79E-4     .097     7.71E-4
   .95   .0803     5.75E-4     .0973    6.85E-4
  1.05   .0762     4.92E-4     .0968    6.11E-4
  1.15   .0703     4.18E-4     .0939    5.44E-4
  1.25   .0661     3.61E-4     .0923    4.9E-4
  1.35   .0601     3.09E-4     .0878    4.39E-4
  1.45   .0549     2.68E-4     .0838    3.95E-4
  1.55   .0497     2.335E-4    .0793    3.57E-4
  1.65   .0448     2.043E-4    .0743    3.23E-4
  1.75   .0397     1.782E-4    .0689    2.93E-4
  1.85   .0353     1.574E-4    .0635    2.67E-4
  1.95   .0307     1.383E-4    .0578    2.45E-4
  2.05   .02639    1.221E-4    .0518    2.24E-4
  2.15   .02276    1.08E-4     .0467    2.063E-4
  2.25   .01927    9.54E-5     .0412    1.894E-4
  2.35   .01622    8.43E-5     .0362    1.739E-4
  2.45   .01346    7.42E-5     .0313    1.594E-4
  2.55   .01106    6.48E-5     .0271    1.462E-4
  2.65   .00921    5.72E-5     .0235    1.34E-4
  2.75   .00738    4.96E-5     .01975   1.215E-4
  2.85   .00604    4.35E-5     .01696   1.11E-4
  2.95   .00489    3.77E-5     .01442   1.01E-4
  3.05   .003886   3.242E-5    .01213   9.16E-5
  3.15   .003103   2.806E-5    .01011   8.24E-5
  3.25   .002433   2.395E-5    .00842   7.43E-5
  3.35   .001945   2.05E-5     .00709   6.71E-5
  3.45   .001562   1.777E-5    .00596   6.05E-5
  3.55   .001207   1.497E-5    .00491   5.42E-5
  3.65  9.42E-4    1.282E-5    .00399   4.81E-5
  3.75  7.43E-4    1.094E-5    .00332   4.31E-5
  3.85  5.866E-4   9.29E-6     .00278   3.89E-5
  3.95  4.581E-4   7.93E-6     .00228   3.45E-5
  4.05  3.602E-4   6.78E-6     .001875  3.08E-5
  4.15  2.865E-4   5.813E-6    .001573  2.77E-5
  4.25  2.255E-4   4.927E-6    .001295  2.47E-5
  4.35  1.721E-4   4.196E-6    .001022  2.16E-5
  4.45  1.439E-4   3.712E-6   8.88E-4   1.976E-5
  4.55  1.092E-4   3.107E-6   7.16E-4   1.744E-5
  4.65  8.323E-5   2.616E-6   5.66E-4   1.525E-5
  4.75  7.095E-5   2.335E-6   5.07E-4   1.418E-5
  4.85  5.699E-5   2.013E-6   4.2E-4    1.269E-5
  4.95  4.224E-5   1.722E-6   3.14E-4   1.079E-5
  5.05  3.56E-5    1.489E-6   2.89E-4   1.018E-5
  5.15  2.866E-5   1.32E-6    2.35E-4   9.01E-6
  5.25  2.277E-5   1.132E-6   1.954E-4  8.1E-6
  5.35  1.63E-5    9.022E-7   1.554E-4  7.12E-6
  5.45  1.551E-5   8.948E-7   1.392E-4  6.61E-6
  5.55  1.0749E-5  7.01E-7    1.039E-4  5.62E-6
  5.65  9.086E-6   6.472E-7   8.65E-5   5.03E-6
  5.75  6.871E-6   5.352E-7   6.86E-5   4.43E-6
  5.85  5.674E-6   4.705E-7   6.14E-5   4.11E-6
  5.95  4.073E-6   3.971E-7   4.46E-5   3.46E-6
  6.05  3.991E-6   3.905E-7   4.3E-5    3.33E-6
  6.15  3.472E-6   3.609E-7   3.75E-5   3.07E-6
  6.25  2.398E-6   2.873E-7   2.95E-5   2.71E-6
  6.35  2.328E-6   2.642E-7   2.76E-5   2.55E-6
  6.45  1.83E-6    2.249E-7   2.34E-5   2.33E-6
  6.55  1.831E-6   2.519E-7   2.039E-5  2.14E-6
  6.65  1.2E-6     1.866E-7   1.556E-5  1.832E-6
  6.75  1.0514E-6  1.815E-7   1.301E-5  1.659E-6
  6.85  8.152E-7   1.588E-7   1.143E-5  1.548E-6
  6.95  7.02E-7    1.3223E-7  9.45E-6   1.37E-6
  7.05  6.808E-7   1.25E-7    9.13E-6   1.34E-6
  7.15  5.422E-7   1.1431E-7  7.13E-6   1.152E-6
  7.25  3.177E-7   7.77E-8    6.12E-6   1.066E-6
  7.35  3.198E-7   8.049E-8   4.57E-6   9.07E-7
  7.45  2.751E-7   6.629E-8   5.44E-6   9.94E-7
  7.55  2.721E-7   7.27E-8    3.63E-6   7.85E-7
  7.65  1.6494E-7  5.458E-8   2.98E-6   7.1E-7
  7.75  6.89E-8    3.046E-8   1.645E-6  5.23E-7
  7.85  1.435E-7   4.089E-8   2.69E-6   6.61E-7
  7.95  1.606E-7   4.687E-8   2.9E-6    6.77E-7
  8.05  1.1338E-7  4.135E-8   2.149E-6  5.6E-7
  8.15  8.048E-8   3.222E-8   1.589E-6  4.82E-7
  8.25  6.929E-8   2.837E-8   1.12E-6   4.01E-7
  8.35  6.464E-8   2.817E-8   9.64E-7   3.67E-7
  8.45  8.319E-8   3.048E-8   1.336E-6  4.28E-7
  8.55  6.597E-8   2.869E-8   9.2E-7    3.49E-7
  8.65  5.15E-8    2.477E-8   7.78E-7   3.22E-7
  8.75  2.787E-8   1.307E-8   6.23E-7   2.8E-7
  8.85  2.359E-8   1.322E-8   6.13E-7   2.75E-7
  8.95  2.966E-8   1.607E-8   4.88E-7   2.45E-7
  9.05  2.555E-8   2.089E-8   2.19E-7   1.559E-7
  9.15  4.019E-8   1.928E-8   8.13E-7   3.09E-7
  9.25  1.933E-8   1.24E-8    3.34E-7   1.937E-7
  9.35  2.594E-8   1.793E-8   3.23E-7   1.878E-7
  9.45  6.963E-9   6.963E-9   1.168E-7  1.168E-7
  9.55  1.1258E-8  8.357E-9   2.029E-7  1.436E-7
  9.65  0          0          0         0
  9.75  1.763E-9   2.697E-9   1.132E-7  1.132E-7
  9.85  9.151E-9   6.344E-9   3.21E-7   1.867E-7
  9.95  6.182E-9   6.182E-9   1.001E-7  1.001E-7
 10.05  0          0          0         0
 10.15  0          0          0         0
 10.25  2.264E-9   2.264E-9   9.46E-8   9.46E-8
 10.35  1.985E-9   2.695E-9   9.63E-8   9.63E-8
 10.45  0          0          0         0
 10.55  0          0          0         0
 10.65  0          0          0         0
 10.75  0          0          0         0
 10.85  1.7748E-9  1.7748E-9  8.53E-8   8.53E-8
 10.95  0          0          0         0
 11.05  0          0          0         0
 11.15  0          0          0         0
 11.25  0          0          0         0
 11.35  0          0          0         0
 11.45  0          0          0         0
 11.55  0          0          0         0
 11.65  0          0          0         0
 11.75  0          0          0         0
 11.85  0          0          0         0
 11.95  0          0          0         0
 12.05  0          0          0         0
 12.15  0          0          0         0
 12.25  0          0          0         0
 12.35  0          0          0         0
 12.45  0          0          0         0
 12.55  0          0          0         0
 12.65  0          0          0         0
 12.75  0          0          0         0
 12.85  0          0          0         0
 12.95  0          0          0         0
 13.05  0          0          0         0
 13.15  0          0          0         0
 13.25  0          0          0         0
 13.35  0          0          0         0
 13.45  0          0          0         0
 13.55  0          0          0         0
 13.65  0          0          0         0
 13.75  0          0          0         0
 13.85  0          0          0         0
 13.95  0          0          0         0
 14.05  0          0          0         0
 14.15  0          0          0         0
 14.25  0          0          0         0
 14.35  0          0          0         0
 14.45  0          0          0         0
 14.55  0          0          0         0
 14.65  0          0          0         0
 14.75  0          0          0         0
 14.85  0          0          0         0
 14.95  0          0          0         0
 15.05  0          0          0         0
 15.15  0          0          0         0
 15.25  0          0          0         0
 15.35  0          0          0         0
 15.45  0          0          0         0
 15.55  0          0          0         0
 15.65  0          0          0         0
 15.75  0          0          0         0
 15.85  0          0          0         0
 15.95  0          0          0         0
 16.05  0          0          0         0
 16.15  0          0          0         0
 16.25  0          0          0         0
 16.35  0          0          0         0
 16.45  0          0          0         0
 16.55  0          0          0         0
 16.65  0          0          0         0
 16.75  0          0          0         0
 16.85  0          0          0         0
 16.95  0          0          0         0
 17.05  0          0          0         0
 17.15  0          0          0         0
 17.25  0          0          0         0
 17.35  0          0          0         0
 17.45  0          0          0         0
 17.55  0          0          0         0
 17.65  0          0          0         0
 17.75  0          0          0         0
 17.85  0          0          0         0
 17.95  0          0          0         0
 18.05  0          0          0         0
 18.15  0          0          0         0
 18.25  0          0          0         0
 18.35  0          0          0         0
 18.45  0          0          0         0
 18.55  0          0          0         0
 18.65  0          0          0         0
 18.75  0          0          0         0
 18.85  0          0          0         0
 18.95  0          0          0         0
 19.05  0          0          0         0
 19.15  0          0          0         0
 19.25  0          0          0         0
 19.35  0          0          0         0
 19.45  0          0          0         0
 19.55  0          0          0         0
 19.65  0          0          0         0
 19.75  0          0          0         0
 19.85  0          0          0         0
 19.95  0          0          0         0
 20.05  0          0          0         0
