   R      RHORP      DRHORP     RHORN    DRHORN
   .05   .0867      .00853     .0789     .00775
   .15   .0981      .00342     .0898     .00312
   .25   .0961      .002042    .0886     .001884
   .35   .0937      .001436    .0874     .00134
   .45   .0921      .0011      .0876     .001046
   .55   .0866     8.7E-4      .0843    8.49E-4
   .65   .0826     7.13E-4     .0829    7.18E-4
   .75   .0782     5.96E-4     .0812    6.23E-4
   .85   .0735     5.06E-4     .0787    5.45E-4
   .95   .0679     4.31E-4     .0758    4.85E-4
  1.05   .0621     3.69E-4     .072     4.35E-4
  1.15   .0565     3.18E-4     .0691    3.94E-4
  1.25   .0512     2.75E-4     .0657    3.59E-4
  1.35   .0457     2.37E-4     .0616    3.25E-4
  1.45   .0404     2.06E-4     .0575    2.95E-4
  1.55   .0354     1.783E-4    .0533    2.71E-4
  1.65   .0307     1.539E-4    .049     2.46E-4
  1.75   .0266     1.337E-4    .0453    2.26E-4
  1.85   .0227     1.155E-4    .0411    2.066E-4
  1.95   .0192     1.001E-4    .0372    1.899E-4
  2.05   .0161     8.65E-5     .0336    1.741E-4
  2.15   .01347    7.47E-5     .0304    1.595E-4
  2.25   .01132    6.53E-5     .0273    1.468E-4
  2.35   .00926    5.61E-5     .0242    1.342E-4
  2.45   .00753    4.81E-5     .02139   1.222E-4
  2.55   .0061     4.11E-5     .01908   1.125E-4
  2.65   .00491    3.5E-5      .01682   1.026E-4
  2.75   .00399    3.03E-5     .01499   9.47E-5
  2.85   .00318    2.57E-5     .01317   8.64E-5
  2.95   .0025     2.19E-5     .01161   7.97E-5
  3.05   .001978   1.856E-5    .01017   7.27E-5
  3.15   .001542   1.555E-5    .00886   6.61E-5
  3.25   .001228   1.338E-5    .00791   6.13E-5
  3.35  9.46E-4    1.124E-5    .00692   5.61E-5
  3.45  7.48E-4    9.5E-6      .00611   5.14E-5
  3.55  5.87E-4    8.04E-6     .00541   4.74E-5
  3.65  4.45E-4    6.67E-6     .00467   4.3E-5
