   R    RHORP_C9  DRHORP_C9   RHORN_C9  DRHORN_C9
   .05   .1004     .01176     .1175      .01382
   .15   .0941     .00432     .1088      .00501
   .25   .086      .00251     .0974      .00285
   .35   .0905     .001853    .0991      .002037
   .45   .0904     .001455    .0955      .00154
   .55   .0924     .00122     .0934      .001234
   .65   .0942     .001053    .091       .001019
   .75   .0943    9.25E-4     .0867     8.53E-4
   .85   .0967    8.4E-4      .0845     7.34E-4
   .95   .0947    7.52E-4     .0791     6.29E-4
  1.05   .0941    6.86E-4     .0748     5.46E-4
  1.15   .0934    6.31E-4     .0704     4.77E-4
  1.25   .0897    5.75E-4     .0647     4.16E-4
  1.35   .0865    5.28E-4     .0595     3.65E-4
  1.45   .0828    4.82E-4     .0549     3.22E-4
  1.55   .0784    4.45E-4     .0495     2.84E-4
  1.65   .0735    4.07E-4     .0445     2.51E-4
  1.75   .068     3.71E-4     .0396     2.194E-4
  1.85   .0628    3.4E-4      .035      1.946E-4
  1.95   .0568    3.1E-4      .0304     1.696E-4
  2.05   .0515    2.81E-4     .02638    1.494E-4
  2.15   .046     2.56E-4     .02263    1.309E-4
  2.25   .0406    2.31E-4     .01917    1.144E-4
  2.35   .0361    2.11E-4     .01623    1E-4
  2.45   .0314    1.893E-4    .01355    8.67E-5
  2.55   .0272    1.706E-4    .01125    7.52E-5
  2.65   .0232    1.529E-4    .00912    6.44E-5
  2.75   .02017   1.393E-4    .00756    5.62E-5
  2.85   .01707   1.237E-4    .00615    4.84E-5
  2.95   .01462   1.116E-4    .00499    4.16E-5
  3.05   .01222   9.92E-5     .003975   3.537E-5
  3.15   .01051   9.02E-5     .003208   3.022E-5
  3.25   .00873   8.03E-5     .002563   2.613E-5
  3.35   .00719   7.11E-5     .001986   2.189E-5
  3.45   .006     6.35E-5     .0016     1.884E-5
  3.55   .00497   5.66E-5     .001248   1.59E-5
  3.65   .00422   5.09E-5    9.95E-4    1.361E-5
  3.75   .00351   4.56E-5    7.97E-4    1.173E-5
  3.85   .00289   4.06E-5    6.18E-4    9.92E-6
  3.95   .00236   3.58E-5    4.683E-4   8.14E-6
  4.05   .001973  3.21E-5    3.795E-4   7.09E-6
  4.15   .001608  2.84E-5    2.919E-4   6.003E-6
  4.25   .001364  2.56E-5    2.374E-4   5.175E-6
  4.35   .001131  2.28E-5    1.877E-4   4.36E-6
  4.45  9.16E-4   2.029E-5   1.412E-4   3.716E-6
  4.55  7.75E-4   1.835E-5   1.147E-4   3.195E-6
  4.65  6.6E-4    1.655E-5   9.42E-5    2.751E-6
  4.75  5.44E-4   1.48E-5    7.377E-5   2.371E-6
  4.85  4.22E-4   1.276E-5   5.689E-5   2.05E-6
  4.95  3.65E-4   1.168E-5   4.435E-5   1.709E-6
  5.05  3.13E-4   1.06E-5    3.862E-5   1.594E-6
  5.15  2.41E-4   9.12E-6    2.891E-5   1.306E-6
  5.25  2.049E-4  8.26E-6    2.356E-5   1.148E-6
  5.35  1.819E-4  7.61E-6    2.067E-5   1.056E-6
  5.45  1.435E-4  6.69E-6    1.456E-5   8.227E-7
  5.55  1.252E-4  6.19E-6    1.209E-5   7.16E-7
  5.65  9.73E-5   5.34E-6    9.552E-6   6.478E-7
  5.75  8.44E-5   4.89E-6    7.011E-6   4.978E-7
  5.85  6.24E-5   4.13E-6    5.601E-6   4.647E-7
  5.95  4.43E-5   3.43E-6    3.475E-6   3.315E-7
  6.05  4.83E-5   3.53E-6    3.793E-6   3.417E-7
