   R    INTERP(R,RHORCM,RCM)    RHORP      DRHORP
 12.05       1.2198E-8        1.6424E-8  9.48E-9
 12.15       1.0936E-8        2.1526E-8  1.08E-8
 12.25       9.8066E-9        0          0
 12.35       8.7946E-9        1.5615E-8  9.03E-9
 12.45       7.8881E-9        1.0314E-8  7.25E-9
 12.55       7.076E-9         5.0516E-9  5.05E-9
 12.65       6.3482E-9        0          0
 12.75       5.6961E-9        9.7912E-9  6.91E-9
 12.85       5.1115E-9        4.8186E-9  4.81E-9
 12.95       4.5875E-9        0          0
 13.05       4.1177E-9        4.6715E-9  4.67E-9
 13.15       3.6965E-9        4.6014E-9  4.6E-9
 13.25       3.3187E-9        4.536E-9   4.53E-9
 13.35       2.9799E-9        0          0
 13.45       2.676E-9         4.3949E-9  4.39E-9
 13.55       2.4033E-9        4.3344E-9  4.33E-9
 13.65       2.1587E-9        0          0
 13.75       1.9391E-9        0          0
 13.85       1.7421E-9        0          0
 13.95       1.5653E-9        0          0
 14.05       1.4065E-9        4.0318E-9  4.03E-9
 14.15       1.264E-9         0          0
 14.25       1.136E-9         0          0
 14.35       1.0211E-9        0          0
 14.45       9.1794E-10       0          0
 14.55       8.2525E-10       0          0
 14.65       7.4199E-10       0          0
 14.75       6.6719E-10       0          0
 14.85       5.9999E-10       3.6128E-9  3.61E-9
 14.95       5.3961E-10       3.5617E-9  3.56E-9
 15.05       4.8535E-10       0          0
 15.15       4.3658E-10       0          0
 15.25       3.9274E-10       0          0
 15.35       3.5334E-10       0          0
 15.45       3.1792E-10       6.6632E-9  4.71E-9
 15.55       2.8607E-10       0          0
 15.65       2.5744E-10       3.2526E-9  3.25E-9
 15.75       2.3169E-10       0          0
 15.85       2.0853E-10       0          0
 15.95       1.877E-10        0          0
 16.05       1.6897E-10       0          0
 16.15       1.5212E-10       0          0
 16.25       1.3695E-10       0          0
 16.35       1.2331E-10       2.9727E-9  2.97E-9
 16.45       1.1104E-10       0          0
 16.55       9.9995E-11       0          0
 16.65       9.0055E-11       0          0
 16.75       8.1109E-11       0          0
 16.85       7.3057E-11       0          0
 16.95       6.5809E-11       0          0
 17.05       5.9285E-11       0          0
 17.15       5.341E-11        0          0
 17.25       4.8122E-11       0          0
 17.35       4.3359E-11       0          0
 17.45       3.9071E-11       0          0
 17.55       3.5209E-11       0          0
 17.65       3.1731E-11       0          0
 17.75       2.8598E-11       0          0
 17.85       2.5776E-11       0          0
 17.95       2.3235E-11       0          0
 18.05       2.0945E-11       0          0
 18.15       1.8882E-11       0          0
 18.25       1.7023E-11       0          0
 18.35       1.5348E-11       0          0
 18.45       1.3839E-11       0          0
 18.55       1.2478E-11       0          0
 18.65       1.1253E-11       0          0
 18.75       1.0148E-11       0          0
 18.85       9.152E-12        0          0
 18.95       8.2544E-12       0          0
 19.05       7.4452E-12       0          0
 19.15       6.7158E-12       0          0
 19.25       6.0581E-12       0          0
 19.35       5.4651E-12       0          0
 19.45       4.9304E-12       0          0
 19.55       4.4483E-12       0          0
 19.65       4.0136E-12       0          0
 19.75       3.6215E-12       0          0
 19.85       3.2678E-12       0          0
 19.95       2.9489E-12       0          0
 20.05       2.6612E-12       0          0
