   R    RHORPP_C9  DRHORPP_C9  RHORNP_C9  DRHORNP_C9  RHORNN_C9  DRHORNN_C9
  7.85  1.517E-4    4.28E-6    9.34E-5     2.566E-6   5.48E-6    2.185E-7
  7.95  1.242E-4    3.84E-6    7.77E-5     2.332E-6   4.571E-6   2.031E-7
  8.05  1.069E-4    3.53E-6    6.59E-5     2.107E-6   3.606E-6   1.709E-7
  8.15  9.27E-5     3.28E-6    5.66E-5     1.932E-6   3.004E-6   1.523E-7
  8.25  9.04E-5     3.19E-6    5.51E-5     1.879E-6   2.923E-6   1.483E-7
  8.35  8.07E-5     3.03E-6    4.73E-5     1.715E-6   2.286E-6   1.286E-7
  8.45  6.72E-5     2.732E-6   3.91E-5     1.565E-6   2.002E-6   1.242E-7
  8.55  5.66E-5     2.467E-6   3.241E-5    1.358E-6   1.505E-6   9.66E-8
  8.65  4.82E-5     2.24E-6    2.749E-5    1.251E-6   1.138E-6   7.85E-8
  8.75  4.17E-5     2.031E-6   2.507E-5    1.182E-6   1.216E-6   9.3E-8
  8.85  3.73E-5     1.958E-6   2.056E-5    1.038E-6   8.9E-7     7.08E-8
  8.95  3.02E-5     1.751E-6   1.696E-5    9.39E-7    6.54E-7    5.52E-8
  9.05  2.804E-5    1.67E-6    1.536E-5    8.84E-7    6.12E-7    5.52E-8
  9.15  2.461E-5    1.516E-6   1.372E-5    8.28E-7    5.04E-7    5.36E-8
  9.25  2.125E-5    1.415E-6   1.16E-5     7.57E-7    3.891E-7   3.909E-8
  9.35  1.718E-5    1.237E-6   9.36E-6     6.57E-7    3.372E-7   4.014E-8
  9.45  1.519E-5    1.198E-6   7.88E-6     6.08E-7    2.528E-7   2.837E-8
  9.55  1.324E-5    1.062E-6   7.05E-6     5.51E-7    2.127E-7   2.578E-8
  9.65  1.172E-5    9.97E-7    6.31E-6     5.15E-7    2.335E-7   3.069E-8
  9.75  1.227E-5    1.034E-6   6.37E-6     5.22E-7    1.987E-7   2.637E-8
  9.85  7.89E-6     8.19E-7    4.47E-6     4.47E-7    1.497E-7   2.256E-8
  9.95  1.022E-5    9.39E-7    5.46E-6     4.85E-7    1.899E-7   2.834E-8
 10.05  6.51E-6     7.07E-7    3.71E-6     3.84E-7    1.254E-7   2.145E-8
 10.15  5.95E-6     6.72E-7    3.409E-6    3.73E-7    1.033E-7   1.697E-8
 10.25  5.34E-6     6.53E-7    2.547E-6    3.093E-7   6.54E-8    1.577E-8
 10.35  4.71E-6     5.94E-7    2.544E-6    3.029E-7   8.31E-8    1.604E-8
 10.45  3.91E-6     5.41E-7    2.048E-6    2.734E-7   5.352E-8   1.05E-8
 10.55  3.92E-6     5.39E-7    2.001E-6    2.767E-7   7.32E-8    1.592E-8
 10.65  3.3E-6      4.91E-7    1.817E-6    2.549E-7   5.89E-8    1.479E-8
 10.75  2.87E-6     4.5E-7     1.487E-6    2.329E-7   3.36E-8    8.65E-9
 10.85  2.528E-6    4.26E-7    1.332E-6    2.24E-7    3.141E-8   7.66E-9
 10.95  1.747E-6    3.4E-7     8.14E-7     1.559E-7   1.179E-8   3.708E-9
 11.05  2.01E-6     3.75E-7    9.86E-7     1.788E-7   1.366E-8   3.762E-9
 11.15  2.526E-6    4.13E-7    1.133E-6    1.79E-7    2.311E-8   5.83E-9
 11.25  1.55E-6     3.25E-7    7.13E-7     1.475E-7   1.658E-8   5.91E-9
 11.35  1.042E-6    2.56E-7    4.96E-7     1.196E-7   6.71E-9    2.357E-9
 11.45  1.192E-6    2.76E-7    4.7E-7      1.113E-7   7.5E-9     3.556E-9
 11.55  9.87E-7     2.45E-7    4.21E-7     1.019E-7   8.15E-9    3.753E-9
 11.65  9.68E-7     2.204E-7   5.6E-7      1.255E-7   1.178E-8   5.5E-9
 11.75  7.82E-7     2.172E-7   3.667E-7    9.71E-8    3.96E-9    1.613E-9
 11.85  5.67E-7     1.936E-7   2.107E-7    6.63E-8    1.344E-9   6.25E-10
 11.95  4.61E-7     1.522E-7   2.316E-7    7.71E-8    4.508E-9   1.691E-9
