   R       RHORPP       DRHORPP       RHORNP       DRHORNP
11.950   1.4449E-07   8.0513E-08    1.8813E-07   7.7743E-08
12.050   3.7556E-08   2.1612E-07    4.0198E-07   1.8657E-07
12.150   3.0824E-07   7.2691E-08    1.3140E-07   6.9351E-08
12.250   4.6415E-08   5.4925E-08   -4.9737E-08   7.2428E-08
12.350   1.1083E-07   4.2436E-08   -7.1152E-08   7.6182E-08
12.450   3.9820E-08   1.8351E-08    2.7864E-08   2.3100E-08
12.550   1.2346E-08   4.6324E-08    2.7508E-08   3.1616E-08
12.650   1.8951E-08   7.7314E-09    2.3351E-08   1.9135E-08
12.750   1.1305E-08   7.2656E-08    5.2384E-08   8.8348E-08
12.850   2.1660E-08   2.0423E-08    3.7208E-08   1.8452E-08
12.950   2.2305E-08   6.3636E-09   -1.5950E-08   2.4754E-08
13.050   3.6495E-08   1.6151E-08    4.0459E-09   1.0225E-08
13.150   1.4725E-08   6.8786E-09    1.0978E-07   1.0319E-07
13.250   1.1806E-08   2.0198E-09    1.7447E-08   1.2267E-08
13.350   1.0289E-09   5.9236E-09    3.1352E-08   2.3102E-08
13.450   1.0650E-08   2.9741E-09    4.6121E-08   4.3907E-08
13.550   2.2794E-09   3.9470E-09   -2.4627E-10   2.4637E-10
13.650   1.4753E-08   4.4476E-09    4.5348E-08   3.6299E-08
13.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
13.850   1.7139E-09   1.7759E-09   -2.0077E-08   2.0075E-08
13.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.050  -4.9137E-10   1.2873E-09   -3.8665E-09   3.8703E-09
14.150  -4.3163E-10   1.3443E-09    1.0901E-07   1.0959E-07
14.250   1.8705E-10   6.1370E-10   -3.2854E-09   3.2861E-09
14.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.450   2.4006E-09   1.6479E-09   -9.0680E-08   1.0565E-07
14.550  -6.4801E-11   7.3807E-12   -3.1284E-09   3.1286E-09
14.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.750   1.2903E-09   2.9614E-09    1.7090E-12   1.7088E-12
14.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
14.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.250   2.2019E-14   1.7020E-14    3.7897E-09   3.8029E-09
15.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.450   1.9585E-09   1.9086E-09   -3.0474E-10   3.0357E-10
