   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
  8.35  9.88E-6    1.105E-6   9.02E-5   6.85E-6   1.465E-4   1.176E-5
  8.45  8.23E-6    9.54E-7    8.53E-5   6.51E-6   1.406E-4   1.123E-5
  8.55  5.98E-6    7.39E-7    6.97E-5   5.75E-6   1.16E-4    1.02E-5
  8.65  5.28E-6    7.25E-7    5.68E-5   5.12E-6   1.017E-4   9.48E-6
  8.75  4.86E-6    6.3E-7     5.37E-5   4.86E-6   9.42E-5    9.01E-6
  8.85  3.21E-6    5.03E-7    4.21E-5   4.39E-6   7.45E-5    7.89E-6
  8.95  2.3E-6     4.07E-7    3.427E-5  3.882E-6  6.78E-5    7.89E-6
  9.05  2.21E-6    3.6E-7     3.107E-5  3.604E-6  4.84E-5    6.02E-6
  9.15  1.956E-6   3.53E-7    2.648E-5  3.308E-6  4.28E-5    5.63E-6
  9.25  1.525E-6   3.39E-7    1.939E-5  2.945E-6  3.39E-5    5.31E-6
  9.35  8.34E-7    1.878E-7   1.41E-5   2.425E-6  2.87E-5    5.03E-6
  9.45  1.303E-6   2.98E-7    1.393E-5  2.294E-6  2.57E-5    4.36E-6
  9.55  6.25E-7    1.653E-7   9.11E-6   1.761E-6  1.818E-5   3.61E-6
  9.65  5.18E-7    1.343E-7   9.34E-6   1.808E-6  1.831E-5   3.73E-6
  9.75  6.45E-7    2.075E-7   8.68E-6   1.9E-6    1.244E-5   2.82E-6
  9.85  3.87E-7    1.472E-7   5.82E-6   1.404E-6  1.183E-5   3.04E-6
  9.95  3.02E-7    1.093E-7   5.32E-6   1.425E-6  1.045E-5   2.83E-6
 10.05  2.91E-7    9E-8       6.07E-6   1.364E-6  1.412E-5   3.34E-6
 10.15  4.22E-7    1.643E-7   5.36E-6   1.365E-6  8.9E-6     2.23E-6
 10.25  2.378E-7   1.038E-7   2.73E-6   9.45E-7   6.13E-6    2.14E-6
 10.35  2.8E-7     1.008E-7   4.14E-6   1.095E-6  7.46E-6    2.11E-6
 10.45  1.043E-7   6.33E-8    1.623E-6  7.06E-7   3.38E-6    1.445E-6
 10.55  1.718E-7   9.96E-8    1.959E-6  7.82E-7   5.02E-6    1.865E-6
 10.65  6.69E-8    3.24E-8    1.62E-6   6.78E-7   3.93E-6    1.758E-6
 10.75  5.43E-8    2.96E-8    1.434E-6  5.8E-7    4.02E-6    1.692E-6
 10.85  0          0          0         0         0          0
 10.95  4.28E-8    2.734E-8   9.08E-7   5.14E-7   1.709E-6   9.36E-7
 11.05  1.726E-8   1.242E-8   4.67E-7   3.077E-7  1.475E-6   9.81E-7
 11.15  3.24E-8    2.497E-8   6.61E-7   3.733E-7  2.502E-6   1.239E-6
 11.25  3.01E-8    3.01E-8    3.428E-7  3.428E-7  2.55E-7    2.55E-7
 11.35  7.81E-9    6.96E-9    4.005E-7  3.293E-7  1.446E-6   9.57E-7
 11.45  1.12E-8    1.12E-8    2.416E-7  2.416E-7  3.54E-7    3.54E-7
 11.55  1.799E-8   1.799E-8   2.275E-7  2.275E-7  3.51E-7    3.51E-7
 11.65  1.671E-8   1.671E-8   2.342E-7  2.342E-7  3.35E-7    3.35E-7
 11.75  2.024E-9   2.024E-9   1.414E-7  1.414E-7  4.32E-7    4.32E-7
 11.85  0          0          0         0         0          0
 11.95  0          0          0         0         0          0
 12.05  0          0          0         0         0          0
 12.15  0          0          0         0         0          0
 12.25  5.97E-10   5.97E-10   5.925E-8  5.925E-8  4.7E-7     4.7E-7
 12.35  3.001E-10  3.001E-10  1.061E-7  1.061E-7  4.152E-7   4.152E-7
 12.45  5.288E-10  5.288E-10  3.194E-8  3.194E-8  4.808E-7   4.808E-7
 12.55  0          0          0         0         0          0
 12.65  0          0          0         0         0          0
 12.75  0          0          0         0         0          0
 12.85  0          0          0         0         0          0
 12.95  0          0          0         0         0          0
 13.05  0          0          0         0         0          0
 13.15  0          0          0         0         0          0
 13.25  0          0          0         0         0          0
 13.35  0          0          0         0         0          0
 13.45  0          0          0         0         0          0
 13.55  0          0          0         0         0          0
 13.65  0          0          0         0         0          0
 13.75  0          0          0         0         0          0
 13.85  0          0          0         0         0          0
 13.95  0          0          0         0         0          0
 14.05  0          0          0         0         0          0
 14.15  0          0          0         0         0          0
 14.25  0          0          0         0         0          0
 14.35  0          0          0         0         0          0
 14.45  0          0          0         0         0          0
 14.55  0          0          0         0         0          0
 14.65  0          0          0         0         0          0
 14.75  0          0          0         0         0          0
 14.85  0          0          0         0         0          0
 14.95  0          0          0         0         0          0
 15.05  0          0          0         0         0          0
 15.15  0          0          0         0         0          0
 15.25  0          0          0         0         0          0
 15.35  0          0          0         0         0          0
 15.45  0          0          0         0         0          0
 15.55  0          0          0         0         0          0
 15.65  0          0          0         0         0          0
 15.75  0          0          0         0         0          0
 15.85  0          0          0         0         0          0
 15.95  0          0          0         0         0          0
 16.05  0          0          0         0         0          0
 16.15  0          0          0         0         0          0
 16.25  0          0          0         0         0          0
 16.35  0          0          0         0         0          0
 16.45  0          0          0         0         0          0
 16.55  0          0          0         0         0          0
 16.65  0          0          0         0         0          0
 16.75  0          0          0         0         0          0
 16.85  0          0          0         0         0          0
 16.95  0          0          0         0         0          0
 17.05  0          0          0         0         0          0
 17.15  0          0          0         0         0          0
 17.25  0          0          0         0         0          0
 17.35  0          0          0         0         0          0
 17.45  0          0          0         0         0          0
 17.55  0          0          0         0         0          0
 17.65  0          0          0         0         0          0
 17.75  0          0          0         0         0          0
 17.85  0          0          0         0         0          0
 17.95  0          0          0         0         0          0
 18.05  0          0          0         0         0          0
 18.15  0          0          0         0         0          0
 18.25  0          0          0         0         0          0
 18.35  0          0          0         0         0          0
 18.45  0          0          0         0         0          0
 18.55  0          0          0         0         0          0
 18.65  0          0          0         0         0          0
 18.75  0          0          0         0         0          0
 18.85  0          0          0         0         0          0
 18.95  0          0          0         0         0          0
 19.05  0          0          0         0         0          0
 19.15  0          0          0         0         0          0
 19.25  0          0          0         0         0          0
 19.35  0          0          0         0         0          0
 19.45  0          0          0         0         0          0
 19.55  0          0          0         0         0          0
 19.65  0          0          0         0         0          0
 19.75  0          0          0         0         0          0
 19.85  0          0          0         0         0          0
 19.95  0          0          0         0         0          0
 20.05  0          0          0         0         0          0
