   R       RHORPP      DRHORPP    RHORNP    DRHORNP   RHORNN    DRHORNN
  8.25   8.07E-6     4.137E-7    2.967E-4  8.21E-6   7.67E-4   2.052E-5
  8.35   6.94E-6     3.758E-7    2.598E-4  7.43E-6   6.73E-4   1.883E-5
  8.45   5.58E-6     3.357E-7    2.244E-4  6.75E-6   6.11E-4   1.788E-5
  8.55   5.22E-6     3.365E-7    1.986E-4  6.28E-6   5.42E-4   1.665E-5
  8.65   4.277E-6    2.84E-7     1.783E-4  5.88E-6   4.85E-4   1.567E-5
  8.75   3.632E-6    2.658E-7    1.621E-4  5.62E-6   4.42E-4   1.483E-5
  8.85   2.87E-6     2.075E-7    1.39E-4   5.03E-6   3.93E-4   1.386E-5
  8.95   2.431E-6    1.852E-7    1.297E-4  4.8E-6    3.72E-4   1.342E-5
  9.05   1.835E-6    1.519E-7    1.031E-4  4.23E-6   3.02E-4   1.194E-5
  9.15   1.75E-6     1.638E-7    9.34E-5   4.06E-6   2.81E-4   1.167E-5
  9.25   1.777E-6    1.629E-7    8.76E-5   3.87E-6   2.508E-4  1.075E-5
  9.35   1.257E-6    1.046E-7    7.7E-5    3.47E-6   2.271E-4  1.001E-5
  9.45   9.53E-7     8.42E-8     6.75E-5   3.259E-6  2.011E-4  9.43E-6
  9.55   1.126E-6    1.353E-7    5.81E-5   2.977E-6  1.817E-4  8.96E-6
  9.65   8.33E-7     7.88E-8     5.57E-5   2.87E-6   1.682E-4  8.52E-6
  9.75   7.92E-7     9.54E-8     4.94E-5   2.728E-6  1.499E-4  7.89E-6
  9.85   6.89E-7     8.64E-8     4.28E-5   2.5E-6    1.304E-4  7.29E-6
  9.95   4.805E-7    6.57E-8     3.7E-5    2.305E-6  1.214E-4  7.03E-6
 10.05   4.531E-7    5.58E-8     3.464E-5  2.109E-6  1.135E-4  6.75E-6
 10.15   3.686E-7    5.22E-8     2.987E-5  2.019E-6  9.95E-5   6.31E-6
 10.25   3.473E-7    5.43E-8     2.687E-5  1.857E-6  8.33E-5   5.61E-6
 10.35   3.248E-7    5.59E-8     2.515E-5  1.771E-6  8.59E-5   5.74E-6
 10.45   2.055E-7    3.817E-8    2.033E-5  1.528E-6  7.2E-5    5.13E-6
 10.55   1.454E-7    2.556E-8    1.721E-5  1.418E-6  6.08E-5   4.76E-6
 10.65   2.084E-7    4.165E-8    1.534E-5  1.374E-6  4.97E-5   4.25E-6
 10.75   1.436E-7    3.143E-8    1.446E-5  1.332E-6  4.84E-5   4.18E-6
 10.85   8.54E-8     1.688E-8    1.148E-5  1.115E-6  4.29E-5   3.98E-6
 10.95   1.185E-7    2.815E-8    1.2E-5    1.159E-6  4E-5      3.72E-6
 11.05   7.59E-8     1.716E-8    1.026E-5  1.081E-6  3.5E-5    3.41E-6
 11.15   6.29E-8     1.466E-8    7.87E-6   8.36E-7   3.11E-5   3.17E-6
 11.25   4.96E-8     1.641E-8    6.3E-6    7.76E-7   2.51E-5   2.84E-6
 11.35   5.42E-8     1.917E-8    7.94E-6   8.69E-7   2.57E-5   2.73E-6
 11.45   3.558E-8    1.244E-8    4.67E-6   6.53E-7   1.715E-5  2.27E-6
 11.55   4.405E-8    1.623E-8    4.74E-6   6.58E-7   1.729E-5  2.3E-6
 11.65   2.184E-8    7.42E-9     4.31E-6   6.01E-7   1.824E-5  2.42E-6
 11.75   6.39E-9     3.66E-9     2.997E-6  5.21E-7   1.112E-5  1.841E-6
 11.85   1.559E-8    5.61E-9     2.666E-6  4.4E-7    1.319E-5  2.12E-6
 11.95   1.483E-8    6.68E-9     3.33E-6   6.14E-7   8.64E-6   1.518E-6
 12.05   1.109E-8    5.92E-9     3.069E-6  5.56E-7   1.008E-5  1.725E-6
 12.15   7.5E-9      4.37E-9     2.304E-6  5.02E-7   7.93E-6   1.514E-6
 12.25   1.056E-8    5.09E-9     2.617E-6  4.99E-7   8.24E-6   1.481E-6
 12.35   1.258E-8    5.33E-9     2.716E-6  4.69E-7   1.032E-5  1.709E-6
 12.45   1.459E-8    7.82E-9     2.397E-6  5.12E-7   8.36E-6   1.573E-6
 12.55   1.826E-8    6.99E-9     2.933E-6  5.18E-7   9.18E-6   1.538E-6
 12.65   1.295E-8    5.79E-9     2.226E-6  4.99E-7   7.21E-6   1.38E-6
 12.75   5.633E-9    3.32E-9     1.562E-6  3.58E-7   4.79E-6   1.114E-6
 12.85   3.75E-9     2.818E-9    1.885E-6  3.99E-7   5.11E-6   1.057E-6
 12.95   5.653E-9    2.498E-9    1.039E-6  2.637E-7  4.17E-6   1.04E-6
 13.05   1.405E-9    1.337E-9    8.65E-7   2.334E-7  4.04E-6   1.023E-6
 13.15   6.82E-9     3.65E-9     1.012E-6  3.153E-7  2.892E-6  8.06E-7
 13.25   6.63E-9     3.498E-9    7.78E-7   2.508E-7  2.84E-6   7.98E-7
 13.35   6.194E-9    3.417E-9    6.74E-7   2.293E-7  2.002E-6  6.67E-7
 13.45   5.83E-9     2.956E-9    7.51E-7   2.419E-7  2.327E-6  6.88E-7
 13.55   4.47E-9     2.9E-9      6.62E-7   2.104E-7  2.59E-6   7.85E-7
 13.65   1.732E-9    1.059E-9    6.03E-7   1.819E-7  2.81E-6   7.43E-7
 13.75  -2.165E-10   7.5E-10     3.5E-7    1.394E-7  1.544E-6  5.97E-7
 13.85   3.21E-9     1.73E-9     5.31E-7   2.092E-7  1.125E-6  4.32E-7
 13.95  -3.928E-10   3.56E-10    1.808E-7  8.28E-8   1.046E-6  4.7E-7
 14.05   1.416E-9    1.625E-9    3.26E-7   1.356E-7  1.083E-6  4.31E-7
 14.15   7.85E-10    4.84E-10    3.068E-7  1.149E-7  1.481E-6  5.39E-7
 14.25   4.43E-10    7.37E-10    2.374E-7  1.071E-7  9.38E-7   4.22E-7
 14.35   4.529E-10   4.606E-10   1.125E-7  6.71E-8   8.53E-7   4.08E-7
 14.45   6.79E-10    1.014E-9    2.259E-7  1.132E-7  1.107E-6  5.29E-7
 14.55   3.6076E-10  3.585E-10   1.866E-7  8.9E-8    1.317E-6  5.47E-7
 14.65   1.217E-9    9.39E-10    3.044E-7  1.349E-7  8.07E-7   3.85E-7
 14.75   2.521E-10   6.93E-10    1.488E-7  8.93E-8   3.99E-7   2.444E-7
 14.85   3.188E-11   2.959E-10   1.251E-7  6.42E-8   5.97E-7   3.35E-7
 14.95   5.5567E-10  7.605E-10   1.626E-7  9.38E-8   3.72E-7   2.195E-7
 15.05   4.73E-10    4.73E-10    7.81E-8   7.81E-8   2.731E-7  2.731E-7
 15.15   8.46E-10    6.82E-10    1.028E-7  6.37E-8   4.16E-7   2.44E-7
 15.25   8.8E-11     1.9E-10     6.19E-8   6.19E-8   1.092E-7  1.092E-7
 15.35   1.621E-9    1.192E-9    1.129E-7  8.27E-8   2.227E-7  1.616E-7
 15.45   2.017E-10   2.717E-10   9.79E-8   5.96E-8   4.02E-7   2.346E-7
 15.55   4.79E-10    4.79E-10    2.856E-8  2.856E-8  1.354E-7  1.354E-7
 15.65   1.626E-9    1.327E-9    8.7E-8    6.66E-8   2.359E-7  1.695E-7
 15.75   7.24E-10    7.24E-10    5.3E-8    5.3E-8    1.067E-7  1.067E-7
 15.85   1.077E-9    1.077E-9    5.92E-8   5.92E-8   9.82E-8   9.82E-8
 15.95  -2.125E-10   2.72E-10    6.97E-8   5.48E-8   2.44E-7   1.863E-7
 16.05  -2.107E-10   2.107E-10   5.97E-8   5.97E-8   9.5E-8    9.5E-8
 16.15  -6.08E-10    6.08E-10    8.25E-8   8.25E-8   2.232E-7  2.232E-7
 16.25   1.5469E-10  1.5469E-10  2.274E-8  2.274E-8  1.278E-7  1.278E-7
