   R      RHORPP      DRHORPP     RHORNP    DRHORNP     RHORNN    DRHORNN
  7.75  8.85E-7     4.626E-8    2.036E-4   2.628E-6   2.563E-4   3.56E-6
  7.85  7.04E-7     3.757E-8    1.904E-4   2.531E-6   2.378E-4   3.4E-6
  7.95  5.7E-7      3.155E-8    1.65E-4    2.319E-6   2.075E-4   3.13E-6
  8.05  5.29E-7     2.89E-8     1.517E-4   2.199E-6   1.92E-4    3E-6
  8.15  4.54E-7     2.841E-8    1.355E-4   2.05E-6    1.737E-4   2.84E-6
  8.25  4E-7        2.679E-8    1.213E-4   1.917E-6   1.576E-4   2.7E-6
  8.35  3.23E-7     2.065E-8    1.094E-4   1.8E-6     1.418E-4   2.54E-6
  8.45  2.581E-7    2.088E-8    9.57E-5    1.661E-6   1.261E-4   2.36E-6
  8.55  1.961E-7    1.598E-8    8.7E-5     1.569E-6   1.166E-4   2.27E-6
  8.65  2.019E-7    1.701E-8    7.87E-5    1.463E-6   1.063E-4   2.141E-6
  8.75  1.856E-7    1.893E-8    6.93E-5    1.358E-6   9.45E-5    2.009E-6
  8.85  1.515E-7    1.359E-8    6.73E-5    1.332E-6   9.24E-5    1.976E-6
  8.95  9.35E-8     7.61E-9     5.43E-5    1.169E-6   7.7E-5     1.807E-6
  9.05  9.04E-8     8.31E-9     4.87E-5    1.095E-6   6.94E-5    1.692E-6
  9.15  8.84E-8     8.9E-9      4.58E-5    1.053E-6   6.64E-5    1.65E-6
  9.25  7.29E-8     8.64E-9     4.003E-5   9.7E-7     5.96E-5    1.557E-6
  9.35  7.73E-8     1.025E-8    3.568E-5   9.14E-7    5.34E-5    1.478E-6
  9.45  5.6E-8      7.02E-9     3.353E-5   8.79E-7    5.05E-5    1.424E-6
  9.55  4.94E-8     6.854E-9    2.998E-5   8.13E-7    4.6E-5     1.349E-6
  9.65  4.095E-8    7.88E-9     2.517E-5   7.43E-7    3.87E-5    1.226E-6
  9.75  2.609E-8    3.093E-9    2.239E-5   6.91E-7    3.44E-5    1.147E-6
  9.85  2.508E-8    6.17E-9     2.002E-5   6.45E-7    3.11E-5    1.079E-6
  9.95  1.64E-8     2.198E-9    1.816E-5   6.04E-7    2.94E-5    1.055E-6
 10.05  1.8E-8      2.591E-9    1.579E-5   5.55E-7    2.66E-5    9.95E-7
 10.15  2.197E-8    4.928E-9    1.473E-5   5.42E-7    2.5E-5     9.68E-7
 10.25  1.437E-8    2.166E-9    1.352E-5   5.08E-7    2.25E-5    9.04E-7
 10.35  1.247E-8    3.14E-9     1.176E-5   4.68E-7    2.13E-5    8.88E-7
 10.45  7.85E-9     1.091E-9    1.027E-5   4.37E-7    1.803E-5   8.01E-7
