   R      RHORPP     DRHORPP    RHORNP    DRHORNP     RHORNN    DRHORNN
  7.55  4.55E-5    9.3706E-7   1.594E-4  2.9359E-6  1.08E-4    2.0749E-6
  7.65  3.82E-5    8.4234E-7   1.378E-4  2.7025E-6  9.37E-5    1.9182E-6
  7.75  3.121E-5   7.5015E-7   1.13E-4   2.4189E-6  7.75E-5    1.7362E-6
  7.85  2.567E-5   6.6847E-7   9.42E-5   2.1864E-6  6.45E-5    1.5498E-6
  7.95  2.095E-5   5.8815E-7   7.77E-5   1.9657E-6  5.31E-5    1.3938E-6
  8.05  1.582E-5   5.0046E-7   6.15E-5   1.7229E-6  4.27E-5    1.2431E-6
  8.15  1.396E-5   4.6747E-7   5.5E-5    1.6169E-6  3.83E-5    1.1625E-6
  8.25  1.183E-5   4.2758E-7   4.61E-5   1.4595E-6  3.217E-5   1.0611E-6
  8.35  9.77E-6    3.8687E-7   3.777E-5  1.3108E-6  2.616E-5   9.4296E-7
  8.45  6.93E-6    3.1037E-7   2.985E-5  1.1524E-6  2.149E-5   8.6028E-7
  8.55  6.04E-6    2.849E-7    2.7E-5    1.0787E-6  1.942E-5   8.0174E-7
  8.65  3.98E-6    2.2629E-7   1.816E-5  8.7506E-7  1.323E-5   6.5778E-7
  8.75  4.03E-6    2.2496E-7   1.788E-5  8.6114E-7  1.28E-5    6.3778E-7
  8.85  3.44E-6    2.0693E-7   1.522E-5  7.8619E-7  1.08E-5    5.7329E-7
  8.95  2.143E-6   1.5611E-7   1.013E-5  6.3754E-7  7.22E-6    4.6992E-7
  9.05  1.924E-6   1.4805E-7   9.06E-6   5.9392E-7  6.51E-6    4.4277E-7
  9.15  1.304E-6   1.1719E-7   6.84E-6   5.1106E-7  5.05E-6    3.8741E-7
  9.25  1.151E-6   1.0576E-7   6.47E-6   4.9241E-7  4.81E-6    3.7923E-7
  9.35  1.025E-6   1.05E-7     5.12E-6   4.3455E-7  3.64E-6    3.1885E-7
  9.45  7.91E-7    8.4736E-8   4.66E-6   4.0643E-7  3.57E-6    3.2526E-7
  9.55  7.74E-7    8.8365E-8   3.99E-6   3.7193E-7  2.978E-6   2.8966E-7
  9.65  4.53E-7    6.2322E-8   2.773E-6  3.0992E-7  2.11E-6    2.4395E-7
  9.75  4E-7       6.2747E-8   2.307E-6  2.761E-7   1.786E-6   2.2384E-7
  9.85  2.59E-7    4.3328E-8   1.832E-6  2.4762E-7  1.396E-6   1.9316E-7
  9.95  4.05E-7    6.0754E-8   2.147E-6  2.6379E-7  1.57E-6    2.0384E-7
 10.05  2.117E-7   4.0268E-8   1.094E-6  1.8778E-7  7.62E-7    1.3271E-7
 10.15  1.797E-7   3.727E-8    1.049E-6  1.7957E-7  7.98E-7    1.4417E-7
 10.25  1.356E-7   3.3545E-8   8.75E-7   1.6235E-7  6.93E-7    1.3769E-7
 10.35  8.98E-8    2.2304E-8   6.86E-7   1.4422E-7  5.24E-7    1.1123E-7
 10.45  8.17E-8    2.2416E-8   5.93E-7   1.3614E-7  4.18E-7    9.9108E-8
 10.55  4.22E-8    1.3972E-8   2.904E-7  9.314E-8   2.041E-7   6.4763E-8
 10.65  3.67E-8    1.4622E-8   3.246E-7  9.6585E-8  2.531E-7   8.2994E-8
 10.75  2.34E-8    9.2671E-9   3.252E-7  9.8766E-8  2.541E-7   7.4805E-8
 10.85  3.378E-8   1.606E-8    2.55E-7   8.2251E-8  2.182E-7   7.0613E-8
 10.95  4.83E-8    2.0194E-8   2.084E-7  7.3495E-8  1.583E-7   5.9955E-8
 11.05  4.88E-9    2.7162E-9   1.276E-7  5.7789E-8  1.118E-7   5.0503E-8
 11.15  1.468E-8   6.4709E-9   1.574E-7  6.1395E-8  1.487E-7   6.0028E-8
 11.25  4.56E-8    1.411E-8    3.016E-7  9.1505E-8  2.037E-7   5.9774E-8
 11.35  1.067E-8   6.1409E-9   7.82E-8   4.3455E-8  6.55E-8    3.6905E-8
 11.45  1.639E-8   6.4342E-9   1.998E-7  6.9219E-8  1.633E-7   5.5875E-8
 11.55  2.599E-9   2.0245E-9   4.066E-8  3.247E-8   3.13E-8    2.3483E-8
 11.65  0          0           0         0          0          0
 11.75  2.63E-9    1.8598E-9   3.79E-8   2.9638E-8  3.148E-8   2.5684E-8
 11.85  2.328E-9   1.1556E-9   1.111E-7  5.063E-8   9.91E-8    4.4288E-8
 11.95  0          0           0         0          0          0
 12.05  8.04E-9    6.9041E-9   4.723E-8  3.9402E-8  1.32E-8    1.0565E-8
 12.15  2.698E-9   2.0662E-9   3.411E-8  2.6852E-8  3.053E-8   2.4396E-8
 12.25  4.13E-9    2.4373E-9   9.78E-8   4.3564E-8  9.7E-8     4.6195E-8
 12.35  8.3E-10    5.8728E-10  3.326E-8  2.6019E-8  3.116E-8   2.3793E-8
 12.45  0          0           0         0          0          0
 12.55  0          0           0         0          0          0
 12.65  0          0           0         0          0          0
 12.75  2.93E-9    1.9222E-9   6.1E-8    3.3748E-8  5.86E-8    3.2825E-8
 12.85  0          0           0         0          0          0
 12.95  0          0           0         0          0          0
 13.05  0          0           0         0          0          0
 13.15  1.188E-9   5.8155E-10  8.49E-8   3.6716E-8  8.66E-8    4.2686E-8
 13.25  4E-9       1.8392E-9   8.81E-8   3.9424E-8  7.79E-8    3.4857E-8
 13.35  0          0           0         0          0          0
 13.45  0          0           0         0          0          0
 13.55  1.453E-9   1.1365E-9   2.832E-8  2.1999E-8  2.432E-8   1.9329E-8
 13.65  3.376E-10  2.6309E-10  2.583E-8  1.8846E-8  2.721E-8   2.3382E-8
 13.75  0          0           0         0          0          0
 13.85  1.108E-10  7.8679E-11  2.431E-8  1.7829E-8  2.743E-8   2.485E-8
 13.95  0          0           0         0          0          0
 14.05  0          0           0         0          0          0
 14.15  0          0           0         0          0          0
 14.25  0          0           0         0          0          0
 14.35  0          0           0         0          0          0
 14.45  0          0           0         0          0          0
 14.55  0          0           0         0          0          0
 14.65  0          0           0         0          0          0
 14.75  0          0           0         0          0          0
 14.85  0          0           0         0          0          0
 14.95  0          0           0         0          0          0
 15.05  0          0           0         0          0          0
 15.15  0          0           0         0          0          0
 15.25  0          0           0         0          0          0
 15.35  0          0           0         0          0          0
 15.45  0          0           0         0          0          0
 15.55  0          0           0         0          0          0
 15.65  0          0           0         0          0          0
 15.75  0          0           0         0          0          0
 15.85  0          0           0         0          0          0
 15.95  0          0           0         0          0          0
 16.05  0          0           0         0          0          0
 16.15  0          0           0         0          0          0
 16.25  0          0           0         0          0          0
 16.35  0          0           0         0          0          0
 16.45  0          0           0         0          0          0
 16.55  0          0           0         0          0          0
 16.65  0          0           0         0          0          0
 16.75  0          0           0         0          0          0
 16.85  0          0           0         0          0          0
 16.95  0          0           0         0          0          0
 17.05  0          0           0         0          0          0
 17.15  0          0           0         0          0          0
 17.25  0          0           0         0          0          0
 17.35  0          0           0         0          0          0
 17.45  0          0           0         0          0          0
 17.55  0          0           0         0          0          0
 17.65  0          0           0         0          0          0
 17.75  0          0           0         0          0          0
 17.85  0          0           0         0          0          0
 17.95  0          0           0         0          0          0
 18.05  0          0           0         0          0          0
 18.15  0          0           0         0          0          0
 18.25  0          0           0         0          0          0
 18.35  0          0           0         0          0          0
 18.45  0          0           0         0          0          0
 18.55  0          0           0         0          0          0
 18.65  0          0           0         0          0          0
 18.75  0          0           0         0          0          0
 18.85  0          0           0         0          0          0
 18.95  0          0           0         0          0          0
 19.05  0          0           0         0          0          0
 19.15  0          0           0         0          0          0
 19.25  0          0           0         0          0          0
 19.35  0          0           0         0          0          0
 19.45  0          0           0         0          0          0
 19.55  0          0           0         0          0          0
 19.65  0          0           0         0          0          0
 19.75  0          0           0         0          0          0
 19.85  0          0           0         0          0          0
 19.95  0          0           0         0          0          0
 20.05  0          0           0         0          0          0
