   R      RHORPP     DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
  7.85   1.583E-5   4.454E-7   6.94E-5   1.798E-6  5.02E-5    1.373E-6
  7.95   1.358E-5   4.12E-7    5.9E-5    1.648E-6  4.24E-5    1.251E-6
  8.05   1.159E-5   3.759E-7   5.26E-5   1.544E-6  3.81E-5    1.19E-6
  8.15   9.35E-6    3.28E-7    4.36E-5   1.382E-6  3.17E-5    1.067E-6
  8.25   7.92E-6    2.99E-7    3.667E-5  1.251E-6  2.66E-5    9.67E-7
  8.35   6.52E-6    2.668E-7   3.054E-5  1.125E-6  2.219E-5   8.68E-7
  8.45   5.389E-6   2.329E-7   2.578E-5  1.011E-6  1.894E-5   7.94E-7
  8.55   4.445E-6   2.109E-7   2.215E-5  9.4E-7    1.622E-5   7.4E-7
  8.65   3.817E-6   1.951E-7   1.94E-5   8.69E-7   1.416E-5   6.85E-7
  8.75   3.181E-6   1.784E-7   1.649E-5  8.02E-7   1.196E-5   6.29E-7
  8.85   2.609E-6   1.597E-7   1.321E-5  7.04E-7   9.64E-6    5.51E-7
  8.95   2.22E-6    1.403E-7   1.167E-5  6.47E-7   8.49E-6    5.05E-7
  9.05   1.722E-6   1.188E-7   9.98E-6   5.98E-7   7.33E-6    4.76E-7
  9.15   1.374E-6   1.032E-7   8.28E-6   5.35E-7   6.05E-6    4.22E-7
  9.25   1.191E-6   9.53E-8    7.08E-6   4.89E-7   5.19E-6    3.88E-7
  9.35   9.7E-7     8.53E-8    5.73E-6   4.35E-7   4.16E-6    3.46E-7
  9.45   9.18E-7    8.29E-8    5.49E-6   4.21E-7   3.98E-6    3.34E-7
  9.55   6.26E-7    6.55E-8    3.99E-6   3.54E-7   2.95E-6    2.87E-7
  9.65   5.467E-7   6.23E-8    3.296E-6  3.207E-7  2.43E-6    2.57E-7
  9.75   4.395E-7   5.49E-8    2.909E-6  3.036E-7  2.12E-6    2.38E-7
  9.85   2.933E-7   4.529E-8   2.036E-6  2.476E-7  1.495E-6   2.004E-7
  9.95   3.527E-7   4.88E-8    2.2E-6    2.541E-7  1.575E-6   2E-7
 10.05   2.239E-7   3.744E-8   1.478E-6  2.08E-7   1.084E-6   1.666E-7
 10.15   1.586E-7   3.257E-8   9.74E-7   1.633E-7  7.21E-7    1.324E-7
 10.25   1.936E-7   3.691E-8   1.141E-6  1.786E-7  8.36E-7    1.428E-7
 10.35   1.767E-7   3.36E-8    9.88E-7   1.643E-7  7.18E-7    1.295E-7
 10.45   1.141E-7   2.487E-8   8.63E-7   1.516E-7  6.26E-7    1.226E-7
 10.55   8.57E-8    1.987E-8   7.57E-7   1.408E-7  5.4E-7     1.099E-7
 10.65   5.031E-8   1.485E-8   5.1E-7    1.147E-7  3.75E-7    9.28E-8
 10.75   6.12E-8    1.687E-8   5.26E-7   1.153E-7  3.78E-7    9.19E-8
 10.85   6.95E-8    2.457E-8   4.69E-7   1.191E-7  3.18E-7    8.78E-8
 10.95   1.899E-8   1.033E-8   2.243E-7  7.5E-8    1.553E-7   5.69E-8
 11.05   5.341E-9   2.242E-9   2.537E-7  8.09E-8   1.754E-7   6.35E-8
 11.15   4.008E-8   2.049E-8   2.258E-7  8.42E-8   1.608E-7   6.43E-8
 11.25   1.247E-8   8.16E-9    1.108E-7  4.98E-8   8.63E-8    4.3E-8
 11.35   1.316E-8   6.39E-9    1.58E-7   6E-8      1.173E-7   4.93E-8
 11.45   1.614E-8   9.11E-9    2.111E-7  7.27E-8   1.371E-7   5.24E-8
 11.55   2.935E-8   1.716E-8   1.229E-7  5.77E-8   8.64E-8    4.44E-8
 11.65   1.286E-8   8.54E-9    1.302E-7  5.36E-8   9.14E-8    4.38E-8
 11.75   8.13E-9    5.427E-9   8.43E-8   4.25E-8   6.13E-8    3.42E-8
 11.85   8.4E-9     7.65E-9    6.33E-8   3.68E-8   4.16E-8    2.789E-8
 11.95   8E-9       6.92E-9    9.12E-8   4.77E-8   4.94E-8    2.932E-8
 12.05   6.85E-9    6.61E-9    6.14E-8   3.568E-8  4.13E-8    2.71E-8
 12.15   2.091E-9   1.64E-9    8.79E-8   4.6E-8    5.38E-8    2.883E-8
 12.25   2.433E-10  2.039E-10  3.95E-8   2.8E-8    3.096E-8   2.252E-8
 12.35   1.131E-8   7.82E-9    5.48E-8   3.184E-8  3.83E-8    2.47E-8
 12.45   0          0          0         0         0          0
 12.55   9.36E-11   9.36E-11   1.953E-8  1.953E-8  1.404E-8   1.404E-8
 12.65   0          0          0         0         0          0
 12.75   0          0          0         0         0          0
 12.85   0          0          0         0         0          0
 12.95   0          0          0         0         0          0
 13.05   0          0          0         0         0          0
 13.15   0          0          0         0         0          0
 13.25   0          0          0         0         0          0
 13.35   0          0          0         0         0          0
 13.45   0          0          0         0         0          0
 13.55   0          0          0         0         0          0
 13.65   0          0          0         0         0          0
 13.75   0          0          0         0         0          0
 13.85   0          0          0         0         0          0
 13.95   0          0          0         0         0          0
 14.05   2.627E-10  2.627E-10  1.649E-8  1.649E-8  1.01E-8    1.01E-8
 14.15   0          0          0         0         0          0
 14.25   0          0          0         0         0          0
 14.35   0          0          0         0         0          0
 14.45   0          0          0         0         0          0
 14.55   0          0          0         0         0          0
 14.65   0          0          0         0         0          0
 14.75   0          0          0         0         0          0
 14.85   0          0          0         0         0          0
 14.95   0          0          0         0         0          0
 15.05   0          0          0         0         0          0
 15.15   0          0          0         0         0          0
 15.25   0          0          0         0         0          0
 15.35  -1.53E-11   1.53E-11   1.404E-8  1.404E-8  8.49E-9    8.49E-9
 15.45   0          0          0         0         0          0
 15.55   0          0          0         0         0          0
 15.65   0          0          0         0         0          0
 15.75   0          0          0         0         0          0
 15.85   0          0          0         0         0          0
 15.95   0          0          0         0         0          0
 16.05   0          0          0         0         0          0
 16.15   0          0          0         0         0          0
 16.25   0          0          0         0         0          0
 16.35   0          0          0         0         0          0
 16.45   0          0          0         0         0          0
 16.55   0          0          0         0         0          0
 16.65   0          0          0         0         0          0
 16.75   0          0          0         0         0          0
 16.85   0          0          0         0         0          0
 16.95   0          0          0         0         0          0
 17.05   0          0          0         0         0          0
 17.15   0          0          0         0         0          0
 17.25   0          0          0         0         0          0
 17.35   0          0          0         0         0          0
 17.45   0          0          0         0         0          0
 17.55   0          0          0         0         0          0
 17.65   0          0          0         0         0          0
 17.75   0          0          0         0         0          0
 17.85   0          0          0         0         0          0
 17.95   0          0          0         0         0          0
 18.05   0          0          0         0         0          0
 18.15   0          0          0         0         0          0
 18.25   0          0          0         0         0          0
 18.35   0          0          0         0         0          0
 18.45   0          0          0         0         0          0
 18.55   0          0          0         0         0          0
 18.65   0          0          0         0         0          0
 18.75   0          0          0         0         0          0
 18.85   0          0          0         0         0          0
 18.95   0          0          0         0         0          0
 19.05   0          0          0         0         0          0
 19.15   0          0          0         0         0          0
 19.25   0          0          0         0         0          0
 19.35   0          0          0         0         0          0
 19.45   0          0          0         0         0          0
 19.55   0          0          0         0         0          0
 19.65   0          0          0         0         0          0
 19.75   0          0          0         0         0          0
 19.85   0          0          0         0         0          0
 19.95   0          0          0         0         0          0
 20.05   0          0          0         0         0          0
