   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
  8.05  7.12E-5    2.84E-6    8.19E-5   2.92E-6   1.279E-5   6E-7
  8.15  6.24E-5    2.66E-6    7.08E-5   2.721E-6  1.035E-5   5.19E-7
  8.25  5.23E-5    2.39E-6    6.07E-5   2.481E-6  9.15E-6    4.89E-7
  8.35  4.18E-5    2.113E-6   4.73E-5   2.145E-6  6.69E-6    4.23E-7
  8.45  3.77E-5    2.018E-6   4.35E-5   2.072E-6  6.51E-6    4.14E-7
  8.55  3.43E-5    1.927E-6   3.953E-5  1.966E-6  5.78E-6    3.82E-7
  8.65  2.82E-5    1.756E-6   3.123E-5  1.719E-6  4.4E-6     3.22E-7
  8.75  2.49E-5    1.589E-6   2.833E-5  1.598E-6  4.17E-6    3E-7
  8.85  1.875E-5   1.36E-6    2.098E-5  1.342E-6  3.06E-6    2.62E-7
  8.95  1.679E-5   1.301E-6   1.827E-5  1.246E-6  2.54E-6    2.49E-7
  9.05  1.411E-5   1.19E-6    1.573E-5  1.163E-6  2.054E-6   2.134E-7
  9.15  1.306E-5   1.085E-6   1.5E-5    1.111E-6  2.055E-6   1.976E-7
  9.25  1.156E-5   1.02E-6    1.337E-5  1.045E-6  1.699E-6   1.791E-7
  9.35  9.02E-6    9.59E-7    8.72E-6   8.16E-7   1.179E-6   1.506E-7
  9.45  8.57E-6    8.7E-7     9.56E-6   8.69E-7   1.23E-6    1.446E-7
  9.55  5.89E-6    6.89E-7    7.22E-6   7.4E-7    1.068E-6   1.502E-7
  9.65  5.12E-6    6.85E-7    5.38E-6   6.2E-7    7.17E-7    1.076E-7
  9.75  4.66E-6    6.07E-7    5.56E-6   6.38E-7   7.64E-7    1.12E-7
  9.85  3.85E-6    5.43E-7    4.5E-6    5.68E-7   6.18E-7    1.084E-7
  9.95  2.75E-6    4.68E-7    3.488E-6  5.23E-7   5.47E-7    1.106E-7
 10.05  2.52E-6    4.38E-7    3.269E-6  4.81E-7   4.95E-7    8.75E-8
 10.15  1.879E-6   3.84E-7    1.967E-6  3.561E-7  2.561E-7   6.13E-8
 10.25  1.504E-6   3.49E-7    1.714E-6  3.468E-7  2.115E-7   5.36E-8
 10.35  2.195E-6   4.41E-7    1.906E-6  3.486E-7  3.033E-7   8.65E-8
 10.45  1.667E-6   3.69E-7    1.544E-6  3.103E-7  2.076E-7   5.46E-8
 10.55  1.054E-6   2.82E-7    1.131E-6  2.58E-7   1.616E-7   4.97E-8
 10.65  1.313E-6   3.35E-7    1.163E-6  2.629E-7  1.538E-7   4.79E-8
 10.75  9.99E-7    2.977E-7   6.18E-7   1.91E-7   1.048E-7   3.734E-8
 10.85  8.97E-7    2.763E-7   8.61E-7   2.304E-7  1.447E-7   4.504E-8
 10.95  4.79E-7    1.811E-7   4.99E-7   1.675E-7  5.95E-8    2.428E-8
 11.05  6.16E-7    1.912E-7   6.32E-7   1.849E-7  7.58E-8    2.793E-8
 11.15  3.83E-7    1.437E-7   5.41E-7   1.783E-7  7.68E-8    2.793E-8
 11.25  2.684E-7   1.04E-7    4.493E-7  1.612E-7  6.772E-8   2.576E-8
 11.35  1.447E-7   9.09E-8    1.311E-7  7.86E-8   1.368E-8   9.86E-9
 11.45  1.859E-7   9.61E-8    2.533E-7  1.154E-7  3.467E-8   1.904E-8
 11.55  1.276E-7   8.74E-8    1.406E-7  8.79E-8   1.127E-8   9.23E-9
 11.65  2.378E-7   1.333E-7   1.073E-7  7.2E-8    2.154E-8   1.691E-8
 11.75  3.96E-7    1.573E-7   3.683E-7  1.313E-7  4.597E-8   2.113E-8
 11.85  1.116E-7   6.91E-8    1.421E-7  8.38E-8   1.191E-8   8.31E-9
 11.95  2.67E-7    1.3886E-7  7.95E-8   4.99E-8   2.223E-9   1.424E-9
 12.05  4.284E-8   4.284E-8   3.729E-8  3.729E-8  5.496E-9   5.496E-9
 12.15  9.07E-8    6.95E-8    7.29E-8   5.46E-8   4.838E-9   4.236E-9
 12.25  1.224E-8   1.224E-8   6.01E-8   6.01E-8   1.0512E-8  1.0512E-8
 12.35  0          0          0         0         0          0
 12.45  0          0          0         0         0          0
 12.55  2.93E-8    2.93E-8    4.435E-8  4.435E-8  5.296E-9   5.296E-9
 12.65  7.4286E-8  7.4286E-8  3.326E-9  3.326E-9  5.507E-11  5.507E-11
 12.75  6.76E-8    5.21E-8    7.6E-8    5.54E-8   9.361E-9   8.745E-9
 12.85  0          0          0         0         0          0
 12.95  0          0          0         0         0          0
 13.05  0          0          0         0         0          0
 13.15  2.716E-8   2.716E-8   3.823E-8  3.823E-8  6.496E-9   6.496E-9
 13.25  0          0          0         0         0          0
 13.35  0          0          0         0         0          0
 13.45  0          0          0         0         0          0
 13.55  4.896E-8   4.896E-8   1.647E-8  1.647E-8  2.307E-9   2.307E-9
 13.65  0          0          0         0         0          0
 13.75  0          0          0         0         0          0
 13.85  2.218E-8   2.218E-8   3.674E-8  3.674E-8  5.966E-9   5.966E-9
 13.95  0          0          0         0         0          0
 14.05  0          0          0         0         0          0
 14.15  0          0          0         0         0          0
 14.25  0          0          0         0         0          0
 14.35  0          0          0         0         0          0
 14.45  0          0          0         0         0          0
 14.55  0          0          0         0         0          0
 14.65  0          0          0         0         0          0
 14.75  0          0          0         0         0          0
 14.85  0          0          0         0         0          0
 14.95  0          0          0         0         0          0
 15.05  0          0          0         0         0          0
 15.15  0          0          0         0         0          0
 15.25  0          0          0         0         0          0
 15.35  0          0          0         0         0          0
 15.45  0          0          0         0         0          0
 15.55  0          0          0         0         0          0
 15.65  0          0          0         0         0          0
 15.75  0          0          0         0         0          0
 15.85  0          0          0         0         0          0
 15.95  0          0          0         0         0          0
 16.05  0          0          0         0         0          0
 16.15  0          0          0         0         0          0
 16.25  0          0          0         0         0          0
 16.35  0          0          0         0         0          0
 16.45  0          0          0         0         0          0
 16.55  0          0          0         0         0          0
 16.65  0          0          0         0         0          0
 16.75  0          0          0         0         0          0
 16.85  0          0          0         0         0          0
 16.95  0          0          0         0         0          0
 17.05  0          0          0         0         0          0
 17.15  0          0          0         0         0          0
 17.25  0          0          0         0         0          0
 17.35  0          0          0         0         0          0
 17.45  0          0          0         0         0          0
 17.55  0          0          0         0         0          0
 17.65  0          0          0         0         0          0
 17.75  0          0          0         0         0          0
 17.85  0          0          0         0         0          0
 17.95  0          0          0         0         0          0
 18.05  0          0          0         0         0          0
 18.15  0          0          0         0         0          0
 18.25  0          0          0         0         0          0
 18.35  0          0          0         0         0          0
 18.45  0          0          0         0         0          0
 18.55  0          0          0         0         0          0
 18.65  0          0          0         0         0          0
 18.75  0          0          0         0         0          0
