   R      RHORPP    DRHORPP    RHORNP    DRHORNP    RHORNN    DRHORNN
  8.05  1.222E-5   5.9E-7     7.89E-5   2.93E-6   6.85E-5    2.82E-6
  8.15  1.074E-5   5.42E-7    7.25E-5   2.763E-6  6.39E-5    2.71E-6
  8.25  8.59E-6    4.68E-7    5.94E-5   2.442E-6  5.11E-5    2.34E-6
  8.35  6.91E-6    4.16E-7    4.88E-5   2.221E-6  4.35E-5    2.22E-6
  8.45  6.17E-6    3.97E-7    4.36E-5   2.061E-6  3.82E-5    2.024E-6
  8.55  4.5E-6     3.17E-7    3.467E-5  1.795E-6  3.28E-5    1.909E-6
  8.65  4.31E-6    3.12E-7    3.178E-5  1.708E-6  2.92E-5    1.757E-6
  8.75  3.09E-6    2.46E-7    2.473E-5  1.486E-6  2.248E-5   1.507E-6
  8.85  3.17E-6    2.7E-7     2.315E-5  1.457E-6  2.08E-5    1.461E-6
  8.95  2.456E-6   2.195E-7   1.87E-5   1.282E-6  1.657E-5   1.29E-6
  9.05  1.701E-6   1.875E-7   1.363E-5  1.069E-6  1.292E-5   1.121E-6
  9.15  1.665E-6   1.69E-7    1.385E-5  1.049E-6  1.26E-5    1.069E-6
  9.25  1.193E-6   1.477E-7   1.056E-5  9.52E-7   9.46E-6    9.58E-7
  9.35  1.305E-6   1.523E-7   1.115E-5  9.56E-7   1.03E-5    1.013E-6
  9.45  1.047E-6   1.352E-7   8.66E-6   8.41E-7   8.67E-6    9.48E-7
  9.55  8.04E-7    1.192E-7   6.37E-6   7.17E-7   5.91E-6    7.65E-7
  9.65  7.12E-7    1.061E-7   6.26E-6   6.63E-7   6.12E-6    7.34E-7
  9.75  6.32E-7    1.061E-7   4.65E-6   5.95E-7   4.26E-6    6.37E-7
  9.85  6.5E-7     1.051E-7   5.54E-6   6.51E-7   4.57E-6    5.94E-7
  9.95  4.67E-7    8.62E-8    3.805E-6  5.04E-7   4.02E-6    6.11E-7
 10.05  4.53E-7    8.4E-8     3.371E-6  4.91E-7   2.82E-6    4.87E-7
 10.15  3.2E-7     6.74E-8    2.68E-6   4.152E-7  2.43E-6    4.11E-7
 10.25  2.552E-7   6.63E-8    2.187E-6  3.659E-7  2.17E-6    4.29E-7
 10.35  2.404E-7   5.72E-8    1.963E-6  3.654E-7  1.97E-6    4.16E-7
 10.45  1.939E-7   5.87E-8    1.479E-6  3.062E-7  1.628E-6   4.03E-7
 10.55  1.337E-7   4.282E-8   1.062E-6  2.556E-7  1.15E-6    3.33E-7
 10.65  1.918E-7   4.98E-8    1.607E-6  3.207E-7  1.814E-6   3.99E-7
 10.75  1.033E-7   4.1E-8     6.72E-7   2.006E-7  5.15E-7    1.839E-7
 10.85  9.35E-8    3.16E-8    8.59E-7   2.138E-7  9.49E-7    2.617E-7
 10.95  3.567E-8   2.269E-8   2.271E-7  1.16E-7   1.521E-7   8.51E-8
 11.05  1.08E-7    4.02E-8    6.74E-7   1.919E-7  5.41E-7    1.735E-7
 11.15  4.308E-8   2.309E-8   2.818E-7  1.274E-7  1.755E-7   8.64E-8
 11.25  1.766E-8   9.97E-9    2.618E-7  1.07E-7   4.08E-7    1.793E-7
 11.35  5.48E-8    2.7E-8     3.728E-7  1.335E-7  5.38E-7    2.08E-7
 11.45  3.311E-8   2.038E-8   1.678E-7  9.68E-8   8.39E-8    5.22E-8
 11.55  3.123E-8   1.4E-8     3.193E-7  1.165E-7  3.95E-7    1.532E-7
 11.65  1.039E-8   9.15E-9    8.19E-8   6.15E-8   9.1E-8     6.96E-8
 11.75  2.944E-8   2.17E-8    1.073E-7  7.59E-8   4.33E-8    3.08E-8
 11.85  1.006E-8   9.85E-9    5.39E-8   4.73E-8   1.131E-7   9.63E-8
 11.95  3.429E-8   1.639E-8   2.241E-7  9.93E-8   2.636E-7   1.227E-7
 12.05  3.193E-8   1.402E-8   2.952E-7  1.142E-7  2.72E-7    1.148E-7
 12.15  1.07E-8    5.995E-9   1.745E-7  9.03E-8   1.517E-7   8.73E-8
 12.25  0          0          0         0         0          0
 12.35  1.794E-10  1.794E-10  2.142E-8  2.142E-8  5.99E-8    5.99E-8
 12.45  0          0          0         0         0          0
 12.55  7.162E-9   7.162E-9   4.68E-8   4.68E-8   2.498E-8   2.498E-8
 12.65  0          0          0         0         0          0
 12.75  2.282E-8   1.669E-8   1.282E-7  9.51E-8   7.85E-8    5.99E-8
 12.85  3.035E-9   3.035E-9   3.116E-8  3.116E-8  4.114E-8   4.114E-8
 12.95  8.135E-9   8.135E-9   4.6E-8    4.6E-8    1.996E-8   1.996E-8
 13.05  0          0          0         0         0          0
 13.15  2.749E-9   2.749E-9   3.876E-8  3.876E-8  3.032E-8   3.032E-8
 13.25  1.264E-9   1.264E-9   2.817E-8  2.817E-8  4.14E-8    4.14E-8
 13.35  0          0          0         0         0          0
 13.45  0          0          0         0         0          0
 13.55  0          0          0         0         0          0
 13.65  0          0          0         0         0          0
 13.75  0          0          0         0         0          0
 13.85  0          0          0         0         0          0
 13.95  0          0          0         0         0          0
 14.05  0          0          0         0         0          0
 14.15  0          0          0         0         0          0
 14.25  0          0          0         0         0          0
 14.35  0          0          0         0         0          0
 14.45  0          0          0         0         0          0
 14.55  0          0          0         0         0          0
 14.65  0          0          0         0         0          0
 14.75  0          0          0         0         0          0
 14.85  0          0          0         0         0          0
 14.95  0          0          0         0         0          0
 15.05  0          0          0         0         0          0
 15.15  0          0          0         0         0          0
 15.25  0          0          0         0         0          0
 15.35  0          0          0         0         0          0
 15.45  0          0          0         0         0          0
 15.55  0          0          0         0         0          0
 15.65  0          0          0         0         0          0
 15.75  0          0          0         0         0          0
 15.85  0          0          0         0         0          0
 15.95  0          0          0         0         0          0
 16.05  0          0          0         0         0          0
 16.15  0          0          0         0         0          0
 16.25  0          0          0         0         0          0
 16.35  0          0          0         0         0          0
 16.45  0          0          0         0         0          0
 16.55  0          0          0         0         0          0
 16.65  0          0          0         0         0          0
 16.75  0          0          0         0         0          0
 16.85  0          0          0         0         0          0
 16.95  0          0          0         0         0          0
 17.05  0          0          0         0         0          0
 17.15  0          0          0         0         0          0
 17.25  0          0          0         0         0          0
 17.35  0          0          0         0         0          0
 17.45  0          0          0         0         0          0
 17.55  0          0          0         0         0          0
 17.65  0          0          0         0         0          0
 17.75  0          0          0         0         0          0
 17.85  0          0          0         0         0          0
 17.95  0          0          0         0         0          0
 18.05  0          0          0         0         0          0
 18.15  0          0          0         0         0          0
 18.25  0          0          0         0         0          0
 18.35  0          0          0         0         0          0
 18.45  0          0          0         0         0          0
 18.55  0          0          0         0         0          0
 18.65  0          0          0         0         0          0
 18.75  0          0          0         0         0          0
 18.85  0          0          0         0         0          0
 18.95  0          0          0         0         0          0
 19.05  0          0          0         0         0          0
 19.15  0          0          0         0         0          0
 19.25  0          0          0         0         0          0
 19.35  0          0          0         0         0          0
 19.45  0          0          0         0         0          0
 19.55  0          0          0         0         0          0
 19.65  0          0          0         0         0          0
 19.75  0          0          0         0         0          0
 19.85  0          0          0         0         0          0
 19.95  0          0          0         0         0          0
 20.05  0          0          0         0         0          0
