   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
 8.550   2.6594E-03   3.8088E-05    5.1518E-03   7.8067E-05
 8.650   2.2733E-03   3.6316E-05    4.4917E-03   7.3788E-05
 8.750   1.9507E-03   3.3025E-05    3.7560E-03   6.6455E-05
 8.850   1.6422E-03   2.9697E-05    3.1193E-03   5.9960E-05
 8.950   1.4045E-03   2.8841E-05    2.7371E-03   5.8683E-05
 9.050   1.2057E-03   2.6662E-05    2.2798E-03   5.9289E-05
 9.150   1.0169E-03   2.4135E-05    1.9257E-03   4.9158E-05
 9.250   8.4001E-04   2.2666E-05    1.5618E-03   4.5962E-05
 9.350   7.0785E-04   2.0142E-05    1.3717E-03   4.2080E-05
 9.450   6.0045E-04   1.8650E-05    1.1008E-03   3.8426E-05
 9.550   5.1106E-04   1.7321E-05    9.2764E-04   3.6038E-05
 9.650   4.1990E-04   1.5918E-05    7.5796E-04   3.2351E-05
 9.750   3.6105E-04   1.4849E-05    6.9306E-04   3.0305E-05
 9.850   3.0231E-04   1.3603E-05    5.4837E-04   2.7781E-05
 9.950   2.6148E-04   1.2607E-05    4.7902E-04   2.5161E-05
10.050   2.0734E-04   1.0926E-05    3.4943E-04   2.2926E-05
10.150   1.7975E-04   1.0297E-05    3.3121E-04   2.1824E-05
10.250   1.4264E-04   9.5986E-06    2.5012E-04   1.9463E-05
10.350   1.1989E-04   8.4347E-06    2.0706E-04   1.7582E-05
10.450   9.9730E-05   7.9927E-06    1.7426E-04   1.6445E-05
10.550   8.3517E-05   7.3262E-06    1.2684E-04   1.5032E-05
10.650   6.9831E-05   6.6971E-06    1.1745E-04   1.3768E-05
10.750   5.9424E-05   6.1950E-06    9.4926E-05   1.2466E-05
10.850   4.8175E-05   5.4070E-06    9.9298E-05   1.1589E-05
10.950   4.1032E-05   4.9480E-06    6.4613E-05   1.0627E-05
11.050   3.1507E-05   4.3653E-06    4.3761E-05   8.9970E-06
11.150   2.9405E-05   4.1924E-06    5.7644E-05   8.9716E-06
11.250   2.3678E-05   3.7681E-06    5.3503E-05   7.8794E-06
11.350   1.9366E-05   3.4495E-06    4.1181E-05   7.1721E-06
11.450   1.3467E-05   2.9119E-06    2.2350E-05   6.4915E-06
11.550   1.2836E-05   2.7741E-06    1.2529E-05   5.4029E-06
11.650   1.0027E-05   2.4926E-06    1.2175E-05   4.9689E-06
11.750   9.2463E-06   2.4346E-06    1.8416E-05   4.8972E-06
11.850   7.7418E-06   2.0949E-06    1.5038E-05   4.7089E-06
11.950   6.1035E-06   1.8121E-06    1.7627E-05   4.1930E-06
12.050   6.1076E-06   1.8102E-06    8.3257E-06   4.1460E-06
12.150   3.7315E-06   1.2438E-06    4.6427E-07   3.1750E-06
12.250   4.9994E-06   1.4233E-06    7.5230E-06   3.2296E-06
12.350   3.3066E-06   1.3111E-06    3.2399E-06   2.5560E-06
12.450   2.5724E-06   1.1800E-06    6.3088E-06   2.3064E-06
12.550   1.8224E-06   1.1446E-06    2.2149E-06   2.0321E-06
12.650   1.4673E-06   1.0331E-06    6.4187E-06   2.4845E-06
12.750   1.2108E-06   7.8730E-07    8.1127E-07   1.6968E-06
12.850   1.5902E-06   1.0817E-06    3.1388E-06   1.8838E-06
12.950   6.6681E-07   5.6845E-07    3.9617E-07   1.3806E-06
13.050   1.1652E-06   6.7088E-07    4.4386E-06   1.7396E-06
13.150   7.9917E-07   7.3200E-07   -1.0082E-06   1.1661E-06
13.250   6.6233E-07   6.3201E-07    5.1849E-07   1.1377E-06
13.350   5.0682E-07   5.0213E-07    2.3716E-06   1.1757E-06
13.450   1.2507E-06   4.5211E-07   -8.4563E-09   8.4904E-07
13.550   2.8202E-07   3.5193E-07    2.3755E-06   9.6521E-07
13.650   2.0442E-07   3.5479E-07    2.7467E-07   5.9583E-07
13.750   2.1420E-07   3.5387E-07   -7.7046E-07   5.6075E-07
13.850   2.1486E-07   2.8243E-07    4.5797E-07   5.3032E-07
13.950   1.4437E-07   1.8679E-07    1.2037E-06   7.1390E-07
14.050   7.7857E-08   2.3908E-07    5.8764E-08   5.0235E-07
14.150   6.0734E-08   1.1176E-07    1.0505E-07   2.6694E-07
14.250   7.2250E-08   9.5737E-08    4.6579E-07   3.6207E-07
14.350   5.1868E-08   1.1833E-07    8.7182E-07   5.3951E-07
14.450   1.0936E-07   2.9383E-07   -4.4420E-07   2.4459E-07
14.550   6.6312E-08   1.2947E-07   -1.5186E-07   1.9630E-07
14.650   3.4784E-08   1.1404E-07   -4.0982E-07   1.6796E-07
14.750   2.2127E-08   3.3392E-08    1.3082E-08   1.9813E-07
14.850   1.2652E-08   3.5331E-08    2.4556E-07   2.2388E-07
14.950   2.1204E-08   4.9147E-08    3.1273E-08   1.3092E-07
15.050  -6.2606E-09   1.1188E-07    1.1262E-07   1.4736E-07
15.150   1.1405E-09   2.1330E-07    1.3427E-07   1.6917E-07
15.250  -4.0599E-08   3.2802E-08   -6.3320E-08   3.4334E-08
15.350   1.0400E-08   6.8828E-08   -4.8513E-08   6.3900E-08
15.450   6.0491E-09   3.1333E-08   -8.2606E-08   6.2430E-08
15.550   3.6658E-09   4.0943E-08   -2.6333E-07   1.1872E-07
15.650   3.4405E-09   2.4068E-08    3.4583E-08   8.0049E-08
15.750   5.0291E-09   1.8843E-08   -2.1471E-08   2.0241E-08
