   R      RHORPPH    DRHORPPH    RHORNPH  DRHORNPH
 10.25  5.581E-7    4.338E-8    7.45E-7   5.72E-8
 10.35  6.541E-7    4.66E-8     8.69E-7   6.11E-8
 10.45  6.062E-7    4.51E-8     8.15E-7   5.96E-8
 10.55  4.373E-7    3.76E-8     5.93E-7   5.01E-8
 10.65  4.264E-7    3.708E-8    5.69E-7   4.87E-8
 10.75  3.726E-7    3.368E-8    5.09E-7   4.52E-8
 10.85  3.714E-7    3.385E-8    5.08E-7   4.55E-8
 10.95  3.131E-7    3.05E-8     4.23E-7   4.06E-8
 11.05  2.392E-7    2.711E-8    3.21E-7   3.57E-8
 11.15  2.155E-7    2.482E-8    2.9E-7    3.29E-8
 11.25  1.963E-7    2.339E-8    2.69E-7   3.15E-8
 11.35  1.804E-7    2.246E-8    2.518E-7  3.08E-8
 11.45  2.195E-7    2.42E-8     3.03E-7   3.3E-8
 11.55  1.846E-7    2.24E-8     2.51E-7   3E-8
 11.65  1.67E-7     2.121E-8    2.26E-7   2.82E-8
 11.75  1.442E-7    1.926E-8    1.959E-7  2.571E-8
 11.85  1.321E-7    1.824E-8    1.796E-7  2.44E-8
 11.95  1.158E-7    1.736E-8    1.515E-7  2.254E-8
 12.05  9.938E-8    1.544E-8    1.363E-7  2.094E-8
 12.15  1.029E-7    1.558E-8    1.45E-7   2.164E-8
 12.25  9.826E-8    1.52E-8     1.351E-7  2.053E-8
 12.35  6.397E-8    1.191E-8    9.26E-8   1.705E-8
 12.45  6.169E-8    1.169E-8    8.72E-8   1.629E-8
 12.55  6.094E-8    1.157E-8    8.56E-8   1.61E-8
 12.65  4.456E-8    9.711E-9    6.49E-8   1.4E-8
 12.75  6.182E-8    1.124E-8    9.48E-8   1.705E-8
 12.85  5.604E-8    1.084E-8    7.88E-8   1.503E-8
 12.95  6.629E-8    1.16E-8     9.51E-8   1.651E-8
 13.05  3.02E-8     7.819E-9    4.46E-8   1.142E-8
 13.15  3.544E-8    8.353E-9    5.2E-8    1.206E-8
 13.25  2.402E-8    6.817E-9    3.5E-8    9.77E-9
 13.35  3.253E-8    8.029E-9    4.34E-8   1.06E-8
 13.45  2.671E-8    7.1E-9      3.92E-8   1.028E-8
 13.55  2.142E-8    6.301E-9    3.06E-8   8.9E-9
 13.65  3.248E-8    7.714E-9    4.87E-8   1.141E-8
 13.75  1.997E-8    5.961E-9    3.05E-8   8.93E-9
 13.85  1.757E-8    5.673E-9    2.393E-8  7.6E-9
 13.95  2.92E-8     7.267E-9    4.03E-8   9.86E-9
 14.05  2.308E-8    6.889E-9    3.35E-8   9.57E-9
 14.15  1.626E-8    5.272E-9    2.349E-8  7.57E-9
 14.25  1.623E-8    5.252E-9    2.298E-8  7.33E-9
 14.35  6.144E-9    3.092E-9    9.32E-9   4.67E-9
 14.45  4.066E-9    2.428E-9    7.37E-9   4.39E-9
 14.55  7.505E-9    3.441E-9    1.129E-8  5.18E-9
 14.65  8.787E-9    3.69E-9     1.345E-8  5.55E-9
 14.75  1.196E-8    4.847E-9    1.731E-8  6.82E-9
 14.85  8.953E-9    3.442E-9    1.63E-8   6.21E-9
 14.95  5.834E-9    2.948E-9    8.4E-9    4.22E-9
 15.05  5.797E-9    2.975E-9    8.25E-9   4.14E-9
 15.15  1.1277E-8   4.071E-9    1.642E-8  5.87E-9
 15.25  2.54E-9     1.831E-9    4.31E-9   3.093E-9
 15.35  2.732E-9    1.935E-9    4.02E-9   2.85E-9
 15.45  4.204E-9    2.461E-9    5.81E-9   3.37E-9
 15.55  2.104E-9    1.517E-9    4.49E-9   3.247E-9
 15.65  5.178E-9    2.639E-9    7.81E-9   3.94E-9
 15.75  5.012E-9    2.517E-9    7.82E-9   3.91E-9
 15.85  5.655E-9    2.594E-9    1.019E-8  4.62E-9
