   R      RHORPP      DRHORPP     RHORNP    DRHORNP     RHORNN    DRHORNN
   .05  4.352E-4    2.516E-4     .005634    .003258    .0010969  6.369E-4
   .15  4.356E-4    1.2085E-4    .004501    .001076    .0011977  3.593E-4
   .25  9.256E-4    1.0723E-4    .00934    9.38E-4     .00254    3.134E-4
   .35   .0021842   1.2334E-4    .02002    9.68E-4     .006572   3.93E-4
   .45   .004012    1.3413E-4    .03362    9.61E-4     .011911   4.205E-4
   .55   .007302    1.528E-4     .0589      .001034    .02166    4.619E-4
   .65   .01099     1.598E-4     .0852      .001043    .03352    4.999E-4
   .75   .01416     1.604E-4     .1052     9.94E-4     .04392    5.055E-4
   .85   .01669     1.569E-4     .1206     9.32E-4     .0537     5.059E-4
   .95   .01819     1.472E-4     .1289     8.56E-4     .0599     4.852E-4
  1.05   .0185      1.35E-4      .1295     7.74E-4     .0631     4.593E-4
  1.15   .01813     1.219E-4     .1247     6.88E-4     .0636     4.28E-4
  1.25   .01739     1.096E-4     .1188     6.12E-4     .0641     4.02E-4
  1.35   .01648     9.86E-5      .1119     5.47E-4     .0631     3.74E-4
  1.45   .01525     8.79E-5      .1026     4.85E-4     .0612     3.5E-4
  1.55   .01386     7.71E-5      .0947     4.3E-4      .0599     3.29E-4
  1.65   .01274     6.84E-5      .0871     3.832E-4    .0576     3.05E-4
  1.75   .01146     6.04E-5      .08       3.445E-4    .0558     2.87E-4
  1.85   .0102      5.3E-5       .0726     3.082E-4    .0533     2.7E-4
  1.95   .00911     4.67E-5      .0666     2.768E-4    .0514     2.52E-4
  2.05   .00807     4.1E-5       .0614     2.517E-4    .0497     2.38E-4
  2.15   .00704     3.577E-5     .0558     2.252E-4    .0475     2.25E-4
  2.25   .00615     3.147E-5     .0511     2.058E-4    .0453     2.102E-4
  2.35   .00538     2.775E-5     .0467     1.88E-4     .0434     1.98E-4
  2.45   .00473     2.447E-5     .043      1.703E-4    .0417     1.865E-4
  2.55   .004045    2.127E-5     .03905    1.547E-4    .0394     1.748E-4
  2.65   .003504    1.874E-5     .03596    1.419E-4    .0376     1.652E-4
  2.75   .003055    1.654E-5     .03313    1.306E-4    .036      1.56E-4
  2.85   .002605    1.444E-5     .03015    1.192E-4    .0339     1.462E-4
  2.95   .002244    1.261E-5     .02769    1.093E-4    .0322     1.377E-4
  3.05   .001962    1.128E-5     .0256     1.011E-4    .0307     1.305E-4
  3.15   .001662    9.79E-6      .02341    9.35E-5     .02913    1.233E-4
  3.25   .001416    8.53E-6      .02132    8.56E-5     .02731    1.155E-4
  3.35   .00121     7.55E-6      .01948    7.93E-5     .02572    1.093E-4
  3.45   .001041    6.66E-6      .0179     7.33E-5     .02423    1.033E-4
  3.55  8.73E-4     5.78E-6      .01618    6.75E-5     .02262    9.7E-5
  3.65  7.43E-4     5.07E-6      .01474    6.23E-5     .02111    9.14E-5
  3.75  6.37E-4     4.52E-6      .01354    5.76E-5     .01988    8.62E-5
  3.85  5.38E-4     3.955E-6     .01225    5.35E-5     .01854    8.19E-5
  3.95  4.61E-4     3.517E-6     .01111    4.96E-5     .01724    7.73E-5
  4.05  3.912E-4    3.081E-6     .01013    4.58E-5     .01607    7.26E-5
  4.15  3.281E-4    2.675E-6     .00911    4.26E-5     .01481    6.88E-5
  4.25  2.817E-4    2.422E-6     .00819    3.919E-5    .01364    6.46E-5
  4.35  2.391E-4    2.125E-6     .0075     3.668E-5    .01282    6.14E-5
  4.45  1.999E-4    1.854E-6     .00669    3.362E-5    .01166    5.74E-5
  4.55  1.7E-4      1.635E-6     .00609    3.149E-5    .01088    5.46E-5
  4.65  1.425E-4    1.447E-6     .00549    2.91E-5     .00999    5.12E-5
  4.75  1.222E-4    1.298E-6     .00498    2.71E-5     .00923    4.86E-5
  4.85  1.004E-4    1.104E-6     .00447    2.512E-5    .00849    4.61E-5
  4.95  8.66E-5     1.009E-6     .004      2.338E-5    .00778    4.35E-5
  5.05  7.16E-5     8.79E-7      .00359    2.165E-5    .00709    4.1E-5
  5.15  6.06E-5     7.65E-7      .003246   2.019E-5    .00654    3.87E-5
  5.25  5.15E-5     6.99E-7      .002939   1.898E-5    .006      3.67E-5
  5.35  4.27E-5     5.95E-7      .002591   1.725E-5    .00542    3.44E-5
  5.45  3.605E-5    5.34E-7      .002337   1.629E-5    .00494    3.244E-5
  5.55  3.054E-5    4.74E-7      .002112   1.51E-5     .0046     3.079E-5
  5.65  2.535E-5    4.09E-7      .001896   1.403E-5    .00415    2.901E-5
  5.75  2.167E-5    3.693E-7     .001685   1.306E-5    .00376    2.725E-5
  5.85  1.822E-5    3.267E-7     .001499   1.209E-5    .003415   2.559E-5
  5.95  1.48E-5     2.814E-7     .001348   1.121E-5    .003089   2.401E-5
  6.05  1.25E-5     2.51E-7      .001212   1.047E-5    .002838   2.28E-5
  6.15  1.082E-5    2.305E-7     .001087   9.8E-6      .00254    2.135E-5
  6.25  8.79E-6     1.893E-7    9.64E-4    9.08E-6     .002287   1.995E-5
  6.35  7.41E-6     1.775E-7    8.49E-4    8.38E-6     .002072   1.888E-5
  6.45  6.09E-6     1.581E-7    7.56E-4    7.77E-6     .001851   1.755E-5
  6.55  5.2E-6      1.388E-7    6.93E-4    7.35E-6     .00172    1.674E-5
  6.65  4.22E-6     1.185E-7    5.89E-4    6.63E-6     .001519   1.562E-5
  6.75  3.644E-6    1.101E-7    5.39E-4    6.31E-6     .001376   1.471E-5
  6.85  3.049E-6    9.89E-8     4.79E-4    5.82E-6     .001261   1.394E-5
  6.95  2.608E-6    8.87E-8     4.21E-4    5.4E-6      .001118   1.296E-5
  7.05  2.124E-6    8.23E-8     3.693E-4   4.94E-6    9.95E-4    1.207E-5
  7.15  1.79E-6     6.86E-8     3.251E-4   4.55E-6    8.96E-4    1.136E-5
  7.25  1.526E-6    6.17E-8     2.958E-4   4.33E-6    8.21E-4    1.081E-5
  7.35  1.161E-6    4.673E-8    2.503E-4   3.865E-6   7.3E-4     1.007E-5
  7.45  1.07E-6     5.02E-8     2.251E-4   3.666E-6   6.47E-4    9.37E-6
  7.55  9.05E-7     4.5E-8      2.035E-4   3.425E-6   5.9E-4     8.86E-6
  7.65  7.92E-7     4.62E-8     1.793E-4   3.155E-6   5.51E-4    8.53E-6
  7.75  5.98E-7     3.066E-8    1.556E-4   2.901E-6   4.82E-4    7.89E-6
  7.85  4.75E-7     2.485E-8    1.331E-4   2.664E-6   4.21E-4    7.34E-6
  7.95  4.48E-7     3.378E-8    1.219E-4   2.502E-6   3.88E-4    6.9E-6
  8.05  3.492E-7    2.164E-8    1.015E-4   2.222E-6   3.33E-4    6.34E-6
  8.15  3.07E-7     2.012E-8    9.19E-5    2.102E-6   3.12E-4    6.13E-6
  8.25  2.551E-7    1.961E-8    7.87E-5    1.931E-6   2.699E-4   5.68E-6
  8.35  2.099E-7    1.596E-8    6.97E-5    1.795E-6   2.458E-4   5.34E-6
  8.45  1.74E-7     1.175E-8    6.33E-5    1.647E-6   2.317E-4   5.1E-6
  8.55  1.368E-7    1.223E-8    5.07E-5    1.477E-6   1.894E-4   4.59E-6
  8.65  1.22E-7     1.253E-8    4.65E-5    1.396E-6   1.735E-4   4.38E-6
  8.75  1.078E-7    9.69E-9     4.34E-5    1.345E-6   1.593E-4   4.11E-6
  8.85  1.014E-7    1.132E-8    3.439E-5   1.153E-6   1.462E-4   3.96E-6
  8.95  7.76E-8     8.72E-9     3.037E-5   1.073E-6   1.229E-4   3.54E-6
  9.05  5.38E-8     5.123E-9    2.724E-5   1.027E-6   1.127E-4   3.39E-6
  9.15  5.5E-8      6.88E-9     2.407E-5   9.51E-7    1.012E-4   3.17E-6
  9.25  5.03E-8     8.19E-9     2.023E-5   8.58E-7    8.86E-5    2.99E-6
  9.35  5.48E-8     7.37E-9     1.91E-5    8.04E-7    8.35E-5    2.82E-6
  9.45  3.856E-8    6.319E-9    1.629E-5   7.72E-7    7.25E-5    2.62E-6
  9.55  3.632E-8    6.92E-9     1.458E-5   7.23E-7    6.81E-5    2.54E-6
  9.65  1.926E-8    2.29E-9     1.189E-5   6.18E-7    5.8E-5     2.308E-6
  9.75  2.167E-8    4.815E-9    1.098E-5   5.85E-7    5.9E-5     2.34E-6
  9.85  1.381E-8    2.123E-9    9.88E-6    5.69E-7    4.59E-5    2.022E-6
  9.95  1.296E-8    2.25E-9     7.67E-6    4.84E-7    4.33E-5    1.977E-6
 10.05  9.02E-9     1.715E-9    8.15E-6    4.96E-7    4.13E-5    1.903E-6
 10.15  1.102E-8    3.132E-9    6.45E-6    4.34E-7    3.45E-5    1.707E-6
 10.25  8.87E-9     2.838E-9    5.55E-6    3.916E-7   3.27E-5    1.67E-6
 10.35  6.146E-9    1.244E-9    5.44E-6    4.06E-7    2.83E-5    1.527E-6
 10.45  5.122E-9    9.01E-10    4.047E-6   3.266E-7   2.38E-5    1.38E-6
 10.55  6.143E-9    1.477E-9    3.371E-6   2.951E-7   1.916E-5   1.244E-6
 10.65  3.768E-9    6.65E-10    3.583E-6   2.973E-7   2.064E-5   1.265E-6
 10.75  2.651E-9    9.035E-10   2.893E-6   2.693E-7   1.758E-5   1.168E-6
 10.85  3.351E-9    8.696E-10   3.453E-6   3.064E-7   1.73E-5    1.133E-6
 10.95  1.705E-9    3.551E-10   2.137E-6   2.263E-7   1.492E-5   1.058E-6
 11.05  1.69E-9     3.982E-10   1.714E-6   2.054E-7   1.184E-5   9.27E-7
