   K      RHOKN1     DRHOKN1      RHOKP1     DRHOKP1
  5.6     .002737   2.5855E-5     .002388   2.3236E-5
  5.7     .00221    2.1173E-5     .0019263  1.9034E-5
  5.8     .001774   1.7884E-5     .0015435  1.6028E-5
  5.9     .0014143  1.5628E-5     .0012303  1.3938E-5
  6       .0011213  1.4047E-5    9.762E-4   1.2436E-5
  6.1    8.852E-4   1.2848E-5    7.716E-4   1.1297E-5
  6.2    6.958E-4   1.1871E-5    6.077E-4   1.0383E-5
  6.3    5.445E-4   1.104E-5     4.768E-4   9.6116E-6
  6.4    4.245E-4   1.0301E-5    3.726E-4   8.9287E-6
  6.5    3.295E-4   9.6115E-6    2.898E-4   8.2928E-6
  6.6    2.544E-4   8.9323E-6    2.243E-4   7.6759E-6
  6.7    1.9542E-4  8.2402E-6    1.7257E-4  7.062E-6
  6.8    1.4952E-4  7.5353E-6    1.3212E-4  6.4485E-6
  6.9    1.1408E-4  6.8268E-6    1.0076E-4  5.8404E-6
  7      8.694E-5   6.1331E-6    7.671E-5   5.2503E-6
  7.1    6.633E-5   5.4705E-6    5.846E-5   4.6889E-6
  7.2    5.089E-5   4.8481E-6    4.484E-5   4.1623E-6
  7.3    3.955E-5   4.2689E-6    3.487E-5   3.6717E-6
  7.4    3.138E-5   3.7278E-6    2.763E-5   3.2143E-6
  7.5    2.565E-5   3.2263E-6    2.243E-5   2.7914E-6
  7.6    2.178E-5   2.7686E-6    1.881E-5   2.4072E-6
  7.7    1.9212E-5  2.3654E-6    1.6309E-5  2.0655E-6
  7.8    1.7454E-5  2.0209E-6    1.4548E-5  1.7661E-6
  7.9    1.6197E-5  1.7302E-6    1.329E-5   1.5059E-6
  8      1.5215E-5  1.4805E-6    1.2337E-5  1.282E-6
  8.1    1.436E-5   1.2566E-6    1.1552E-5  1.091E-6
  8.2    1.3625E-5  1.053E-6     1.0907E-5  9.2606E-7
  8.3    1.2986E-5  8.7941E-7    1.0377E-5  7.8237E-7
  8.4    1.2354E-5  7.5396E-7    9.899E-6   6.6293E-7
  8.5    1.172E-5   6.8324E-7    9.45E-6    5.7771E-7
  8.6    1.1141E-5  6.4383E-7    9.038E-6   5.2689E-7
  8.7    1.0603E-5  6.0077E-7    8.633E-6   4.9053E-7
  8.8    1.0069E-5  5.3924E-7    8.212E-6   4.4767E-7
  8.9    9.543E-6   4.7599E-7    7.778E-6   4.0022E-7
  9      9.015E-6   4.4941E-7    7.313E-6   3.7346E-7
  9.1    8.462E-6   4.7143E-7    6.806E-6   3.8196E-7
  9.2    7.89E-6    5.0573E-7    6.294E-6   4.0211E-7
  9.3    7.295E-6   5.116E-7     5.812E-6   4.0168E-7
  9.4    6.655E-6   4.752E-7     5.347E-6   3.7329E-7
  9.5    5.986E-6   4.1614E-7    4.883E-6   3.3763E-7
  9.6    5.322E-6   3.7669E-7    4.417E-6   3.2414E-7
  9.7    4.663E-6   3.846E-7     3.941E-6   3.356E-7
  9.8    4.012E-6   4.1834E-7    3.449E-6   3.4684E-7
  9.9    3.417E-6   4.3718E-7    2.962E-6   3.3982E-7
 10      2.926E-6   4.217E-7     2.506E-6   3.1708E-7
