   K      RHOKN1     DRHOKN1      RHOKP1     DRHOKP1
  0    495.4        1.7788     482          1.1043
   .1  499.2        1.3405     472.6         .7574
   .2  499.2         .82984    443.4         .52614
   .3  477.2         .5743     394.7         .38471
   .4  425.9         .34678    331.2         .27073
   .5  352.4         .21171    261.5         .18995
   .6  270.9         .15302    194.68        .14029
   .7  194.91        .11874    137.3         .10486
   .8  132.16        .088728    92.2         .075629
   .9   85.25        .061061    59.4         .051244
  1     52.79        .03871     37.04        .03245
  1.1   31.69        .023345    22.571       .019774
  1.2   18.633       .015473    13.596       .013289
  1.3   10.876       .013792     8.207       .011767
  1.4    6.394       .01426      5.035       .012074
  1.5    3.853       .014454     3.187       .012261
  1.6    2.426       .014027     2.1079      .011966
  1.7    1.6195      .013215     1.4713      .011326
  1.8    1.1569      .012195     1.0865      .010458
  1.9     .884       .010975      .8472      .0093922
  2       .7164      .0095464     .6926      .0081561
  2.1     .6063      .008002      .5866      .0068497
  2.2     .5278      .0065213     .5089      .0056143
  2.3     .4675      .0052541     .448       .0045574
  2.4     .4172      .0042599     .3972      .0037113
  2.5     .3725      .0034799     .3524      .0030269
  2.6     .3321      .0028215     .3123      .0024414
  2.7     .2952      .0022374     .2763      .0019284
  2.8     .2615      .0017317     .2437      .0014936
  2.9     .2309      .0013305     .2142      .0011535
  3       .20325     .0010418     .18774    9.0932E-4
  3.1     .17839    8.4794E-4     .16411    7.4391E-4
  3.2     .15618    7.2096E-4     .14309    6.3397E-4
  3.3     .13641    6.3759E-4     .12446    5.6061E-4
  3.4     .11885    5.8144E-4     .10801    5.1076E-4
  3.5     .10327    5.4021E-4     .09352    4.7422E-4
  3.6     .08948    5.0584E-4     .08079    4.4384E-4
  3.7     .07731    4.7352E-4     .06962    4.1532E-4
  3.8     .06661    4.4135E-4     .05985    3.8659E-4
  3.9     .05721    4.079E-4      .05132    3.5694E-4
  4       .04903    3.7283E-4     .04389    3.2621E-4
  4.1     .04192    3.3669E-4     .03744    2.948E-4
  4.2     .03577    3.0112E-4     .03186    2.638E-4
  4.3     .03045    2.6739E-4     .02703    2.3392E-4
  4.4     .02584    2.3578E-4     .02287    2.0576E-4
  4.5     .02187    2.0608E-4     .019298   1.7936E-4
  4.6     .018422   1.7815E-4     .01623    1.5495E-4
  4.7     .015453   1.5212E-4     .013599   1.3258E-4
  4.8     .012914   1.2866E-4     .011358   1.1243E-4
  4.9     .010758   1.0797E-4     .009459   9.4583E-5
  5       .008934   9.003E-5      .007854   7.9005E-5
  5.1     .007401   7.4569E-5     .006502   6.5539E-5
  5.2     .006114   6.1237E-5     .005366   5.3976E-5
  5.3     .005032   4.978E-5      .004413   4.4087E-5
  5.4     .004127   4.0105E-5     .003614   3.5719E-5
  5.5     .00337    3.2142E-5     .002946   2.8777E-5
