   K      RHOKN5     DRHOKN5      RHOKP5     DRHOKP5
  0    481.3        1.0131     461.7         .61879
   .1  493.4         .97586    456.8         .57656
   .2  508.5         .7456     436.4         .47422
   .3  495.6         .51585    395           .35603
   .4  445.6         .30619    335.6         .24441
   .5  367.5         .19206    266.8         .16969
   .6  279.6         .13383    198.89        .12056
   .7  198           .10143    139.67        .087142
   .8  131.75        .075863    93.07        .062051
   .9   83.33        .05312     59.38        .042194
  1     50.65        .034754    36.63        .027152
  1.1   29.95        .021822    22.1         .017022
  1.2   17.448       .014459    13.218       .01172
  1.3   10.156       .011813     7.947       .010232
  1.4    6.002       .011545     4.88        .01031
  1.5    3.664       .011653     3.104       .010449
  1.6    2.346       .011435     2.0709      .010219
  1.7    1.5955      .010782     1.4588      .0096135
  1.8    1.1578      .0098188    1.0863      .008755
  1.9     .8916      .0087179     .8504      .0077755
  2       .7203      .0075907     .6933      .0067728
  2.1     .6041      .0064932     .5832      .0057986
  2.2     .5187      .0054743     .5012      .0048885
  2.3     .4519      .0045493     .4365      .0040582
  2.4     .3978      .0037241     .3834      .0033182
  2.5     .3512      .0030091     .3377      .0026785
  2.6     .3102      .0024009     .2973      .0021364
  2.7     .2739      .0018932     .2616      .0016855
  2.8     .2413      .0014809     .2294      .0013177
  2.9     .2117      .001155      .20046     .0010267
  3       .18532    9.0584E-4     .17468    8.0356E-4
  3.1     .16174    7.2238E-4     .15184    6.3897E-4
  3.2     .14073    5.9332E-4     .13167    5.2393E-4
  3.3     .12218    5.0746E-4     .11396    4.4825E-4
  3.4     .10589    4.5244E-4     .09848    4.007E-4
  3.5     .09159    4.1673E-4     .08494    3.7048E-4
  3.6     .07907    3.9107E-4     .07314    3.4888E-4
  3.7     .06817    3.6872E-4     .06288    3.3014E-4
  3.8     .05864    3.4667E-4     .05395    3.1147E-4
  3.9     .05032    3.2369E-4     .0462     2.9145E-4
  4       .04313    2.9936E-4     .0395     2.7008E-4
  4.1     .03688    2.7419E-4     .0337     2.4731E-4
  4.2     .03147    2.4852E-4     .02869    2.2397E-4
  4.3     .02681    2.2306E-4     .02437    2.0055E-4
  4.4     .02277    1.981E-4      .020648   1.7785E-4
  4.5     .019277   1.7406E-4     .017453   1.5605E-4
  4.6     .016275   1.51E-4       .01471    1.3553E-4
  4.7     .013703   1.2956E-4     .012363   1.1655E-4
  4.8     .011498   1.1E-4        .010357   9.9241E-5
  4.9     .009613   9.2547E-5     .008646   8.3711E-5
  5       .008011   7.7192E-5     .007192   6.9916E-5
  5.1     .006651   6.3788E-5     .00596    5.7755E-5
  5.2     .005498   5.2189E-5     .004921   4.7178E-5
  5.3     .004531   4.2286E-5     .00405    3.8138E-5
  5.4     .00372    3.3947E-5     .003323   3.0547E-5
  5.5     .003041   2.7009E-5     .002717   2.4279E-5
  5.6     .002476   2.1407E-5     .002213   1.9227E-5
  5.7     .0020082  1.7064E-5     .0017952  1.5296E-5
  5.8     .0016217  1.3871E-5     .0014502  1.2385E-5
  5.9     .0013042  1.1666E-5     .0011662  1.0346E-5
  6       .0010444  1.021E-5     9.334E-4   8.9966E-6
  6.1    8.327E-4   9.2775E-6    7.435E-4   8.1437E-6
  6.2    6.614E-4   8.664E-6     5.897E-4   7.5992E-6
  6.3    5.232E-4   8.2096E-6    4.659E-4   7.2096E-6
  6.4    4.118E-4   7.8103E-6    3.663E-4   6.8733E-6
  6.5    3.222E-4   7.408E-6     2.869E-4   6.5329E-6
  6.6    2.509E-4   6.9781E-6    2.239E-4   6.1655E-6
  6.7    1.9458E-4  6.5136E-6    1.7424E-4  5.7631E-6
  6.8    1.5046E-4  6.0186E-6    1.3531E-4  5.3331E-6
  6.9    1.1626E-4  5.5073E-6    1.0506E-4  4.8844E-6
  7      8.996E-5   4.991E-6     8.174E-5   4.4307E-6
  7.1    6.982E-5   4.4832E-6    6.379E-5   3.984E-6
  7.2    5.451E-5   3.9923E-6    5.006E-5   3.5521E-6
  7.3    4.304E-5   3.5255E-6    3.962E-5   3.1413E-6
  7.4    3.449E-5   3.0863E-6    3.172E-5   2.7537E-6
  7.5    2.816E-5   2.676E-6     2.576E-5   2.3927E-6
  7.6    2.345E-5   2.299E-6     2.13E-5    2.0584E-6
  7.7    1.9972E-5  1.9573E-6    1.7969E-5  1.7538E-6
  7.8    1.7503E-5  1.6503E-6    1.5519E-5  1.4804E-6
  7.9    1.5756E-5  1.3812E-6    1.3724E-5  1.241E-6
  8      1.4385E-5  1.1533E-6    1.2377E-5  1.0371E-6
  8.1    1.3268E-5  9.6599E-7    1.1362E-5  8.6861E-7
  8.2    1.2421E-5  8.1487E-7    1.0604E-5  7.3119E-7
  8.3    1.1776E-5  6.8832E-7    1.0004E-5  6.1659E-7
  8.4    1.1215E-5  5.7551E-7    9.474E-6   5.1658E-7
  8.5    1.0666E-5  4.7662E-7    8.986E-6   4.2759E-7
  8.6    1.0111E-5  3.9754E-7    8.555E-6   3.5284E-7
  8.7    9.575E-6   3.4884E-7    8.177E-6   2.9975E-7
  8.8    9.101E-6   3.3159E-7    7.818E-6   2.7179E-7
  8.9    8.671E-6   3.2716E-7    7.433E-6   2.6268E-7
  9      8.212E-6   3.2037E-7    7.009E-6   2.615E-7
  9.1    7.676E-6   3.0594E-7    6.551E-6   2.6167E-7
  9.2    7.063E-6   2.8714E-7    6.068E-6   2.6101E-7
  9.3    6.399E-6   2.7084E-7    5.546E-6   2.5825E-7
  9.4    5.713E-6   2.6209E-7    4.988E-6   2.5165E-7
  9.5    5.038E-6   2.6342E-7    4.422E-6   2.4106E-7
  9.6    4.4E-6     2.708E-7     3.894E-6   2.2879E-7
  9.7    3.828E-6   2.791E-7     3.429E-6   2.1877E-7
  9.8    3.362E-6   2.7979E-7    3.036E-6   2.1317E-7
  9.9    3.031E-6   2.6491E-7    2.715E-6   2.1026E-7
 10      2.83E-6    2.3822E-7    2.46E-6    2.0731E-7
