    K       RHOKN       DRHOKN      RHOKP       DRHOKP
   .001  422.39       8.8863     439.28       6.3942
   .1    432.34       8.3417     439.45       6.0398
   .2    453.44       6.8949     436.4        5.0884
   .3    466.34       5.0095     422.38       3.8229
   .4    454.61       3.2041     391.47       2.5789
   .5    413.52       1.8791     343.55       1.6322
   .6    349.82       1.2367     284.18       1.1166
   .7    276.06       1.0783     221.6         .92226
   .8    204.43        .9881     163.41        .80775
   .9    143.08        .82598    114.51        .66451
  1       95.388       .61897     76.723       .49718
  1.1     61.077       .416       49.502       .33653
  1.2     37.897       .25198     31.016       .20787
  1.3     23.019       .15047     19.066       .12874
  1.4     13.858       .12204     11.652       .10501
  1.5      8.4043      .13022      7.2029      .10948
  1.6      5.2471      .13596      4.6022      .11341
  1.7      3.4568      .13106      3.109       .10983
  1.8      2.4513      .11838      2.2562      .10042
  1.9      1.8806      .10234      1.7613      .088239
  2        1.5428      .086301     1.4592      .075684
  2.1      1.3253      .072117     1.2571      .064076
  2.2      1.1675      .060281     1.1053      .053848
  2.3      1.0381      .050367      .97894     .044918
  2.4       .9229      .041787      .86659     .037096
  2.5       .81636     .034271      .76393     .030337
  2.6       .71712     .027898      .66967     .024748
  2.7       .62546     .022845      .58368     .020416
  2.8       .54212     .019078      .50615     .017223
  2.9       .46774     .01628       .43722     .014831
  3         .40253     .014017      .3768      .012846
  3.1       .34619     .01196       .32447     .011002
  3.2       .29793     .0099815     .27954     .009213
  3.3       .25671     .0081163     .24111     .007528
  3.4       .22144     .0064743     .20822     .0060532
  3.5       .19117     .0051765     .17999     .0048918
  3.6       .16516     .0042981     .15566     .0040955
  3.7       .1428      .0038149     .13462     .0036296
  3.8       .12355     .0036004     .11638     .0033847
  3.9       .10692     .0035021     .10054     .0032395
  4         .092504    .0034125     .086754    .0031102
  4.1       .079932    .0032786     .074716    .0029552
  4.2       .068886    .0030851     .064168    .0027611
  4.3       .059125    .0028383     .054906    .0025309
  4.4       .050512    .0025569     .046779    .0022767
  4.5       .042963    .0022648     .039674    .0020148
  4.6       .036383    .0019829     .033497    .0017601
  4.7       .030661    .0017248     .028157    .0015235
  4.8       .025705    .0014939     .023575    .0013099
  4.9       .021454    .0012869     .019676    .0011193
  5         .017851    .001098      .016388   9.4913E-4
  5.1       .014819   9.2382E-4     .013629   7.969E-4
  5.2       .012274   7.6452E-4     .011322   6.613E-4
