   K      RHOKP4     DRHOKP4
  0    504.5         .86437
   .1  501.3         .79606
   .2  486.5         .64071
   .3  452.6         .4691
   .4  397.9         .32463
   .5  328.6         .22331
   .6  254.8         .16136
   .7  186.18        .11997
   .8  128.91        .087393
   .9   85.23        .060303
  1     54.26        .039154
  1.1   33.59        .024559
  1.2   20.42        .016703
  1.3   12.355       .014432
  1.4    7.53        .014588
  1.5    4.693       .014849
  1.6    3.032       .014566
  1.7    2.056       .013731
  1.8    1.4744      .01253
  1.9    1.1192      .011149
  2       .894       .0097192
  2.1     .7437      .0083205
  2.2     .6372      .0070096
  2.3     .5565      .0058153
  2.4     .4915      .0047588
  2.5     .4366      .0038474
  2.6     .3885      .0030795
  2.7     .3455      .0024466
  2.8     .3065      .0019347
  2.9     .2711      .0015281
  3       .2388      .0012149
  3.1     .2096     9.8175E-4
  3.2     .18323    8.1551E-4
  3.3     .15966    7.0152E-4
  3.4     .13865    6.2445E-4
  3.5     .12002    5.7056E-4
  3.6     .10358    5.292E-4
  3.7     .08916    4.9377E-4
  3.8     .07653    4.6033E-4
  3.9     .06549    4.2702E-4
  4       .05587    3.9322E-4
  4.1     .04754    3.5907E-4
  4.2     .04035    3.2492E-4
  4.3     .03418    2.9126E-4
  4.4     .0289     2.5838E-4
  4.5     .02438    2.2691E-4
  4.6     .02051    1.9693E-4
  4.7     .017215   1.69E-4
  4.8     .014421   1.4326E-4
  4.9     .012056   1.1994E-4
  5       .010053   9.9207E-5
  5.1     .008358   8.1091E-5
  5.2     .006923   6.5506E-5
  5.3     .005715   5.239E-5
  5.4     .004702   4.1599E-5
  5.5     .003856   3.2972E-5
  5.6     .003152   2.6347E-5
  5.7     .002568   2.1489E-5
  5.8     .002086   1.8095E-5
  5.9     .0016897  1.5811E-5
  6       .001365   1.4277E-5
  6.1     .0010999  1.319E-5
  6.2    8.837E-4   1.2333E-5
  6.3    7.078E-4   1.1574E-5
  6.4    5.652E-4   1.0839E-5
  6.5    4.501E-4   1.0094E-5
  6.6    3.575E-4   9.3346E-6
  6.7    2.836E-4   8.5638E-6
  6.8    2.248E-4   7.7923E-6
  6.9    1.783E-4   7.0336E-6
  7      1.4174E-4  6.2982E-6
  7.1    1.1325E-4  5.5953E-6
  7.2    9.115E-5   4.9349E-6
  7.3    7.401E-5   4.3204E-6
  7.4    6.066E-5   3.7547E-6
  7.5    5.025E-5   3.2407E-6
  7.6    4.216E-5   2.7796E-6
  7.7    3.588E-5   2.3681E-6
  7.8    3.101E-5   2.0054E-6
  7.9    2.714E-5   1.69E-6
  8      2.397E-5   1.4142E-6
  8.1    2.132E-5   1.1775E-6
  8.2    1.9113E-5  9.7786E-7
  8.3    1.731E-5   8.1445E-7
  8.4    1.5818E-5  6.8681E-7
  8.5    1.4534E-5  5.9319E-7
  8.6    1.3402E-5  5.2566E-7
  8.7    1.2401E-5  4.7518E-7
  8.8    1.1508E-5  4.3679E-7
  8.9    1.0691E-5  4.0533E-7
  9      9.942E-6   3.7924E-7
  9.1    9.258E-6   3.6057E-7
  9.2    8.62E-6    3.455E-7
  9.3    8E-6       3.3157E-7
  9.4    7.389E-6   3.182E-7
  9.5    6.801E-6   3.0377E-7
  9.6    6.236E-6   2.8892E-7
  9.7    5.66E-6    2.774E-7
  9.8    5.035E-6   2.6941E-7
  9.9    4.375E-6   2.641E-7
 10      3.743E-6   2.6121E-7
