   K      RHOKN       DRHOKN      RHOKP       DRHOKP
  7.6    4.057E-5   2.8794E-6    3.297E-5   2.4886E-6
  7.7    3.435E-5   2.4679E-6    2.778E-5   2.1291E-6
  7.8    2.951E-5   2.1067E-6    2.377E-5   1.814E-6
  7.9    2.569E-5   1.7885E-6    2.0663E-5  1.5361E-6
  8      2.264E-5   1.507E-6     1.8223E-5  1.2928E-6
  8.1    2.024E-5   1.2608E-6    1.6305E-5  1.079E-6
  8.2    1.8333E-5  1.0519E-6    1.4783E-5  8.9482E-7
  8.3    1.6765E-5  8.8441E-7    1.3533E-5  7.4258E-7
  8.4    1.5395E-5  7.6183E-7    1.2453E-5  6.2576E-7
  8.5    1.417E-5   6.8243E-7    1.1488E-5  5.4367E-7
  8.6    1.3105E-5  6.3341E-7    1.0621E-5  4.8838E-7
  8.7    1.2212E-5  5.9363E-7    9.837E-6   4.4681E-7
  8.8    1.1454E-5  5.4398E-7    9.112E-6   4.0745E-7
  8.9    1.0769E-5  4.8078E-7    8.431E-6   3.6635E-7
  9      1.0134E-5  4.2023E-7    7.8E-6     3.2815E-7
  9.1    9.537E-6   3.8789E-7    7.217E-6   3.0188E-7
  9.2    8.931E-6   3.9357E-7    6.67E-6    2.9299E-7
  9.3    8.252E-6   4.1683E-7    6.138E-6   2.9746E-7
  9.4    7.475E-6   4.2968E-7    5.612E-6   3.0536E-7
  9.5    6.644E-6   4.2167E-7    5.09E-6    3.092E-7
  9.6    5.825E-6   3.9948E-7    4.579E-6   3.0697E-7
  9.7    5.058E-6   3.7809E-7    4.082E-6   3.0056E-7
  9.8    4.356E-6   3.6727E-7    3.597E-6   2.9297E-7
  9.9    3.731E-6   3.65E-7      3.125E-6   2.8661E-7
 10      3.19E-6    3.6453E-7    2.678E-6   2.829E-7
