   K      RHOKN       DRHOKN      RHOKP       DRHOKP
  0    361.6        1.7954     391.4         .69567
   .1  389.7        1.6481     386.7         .65479
   .2  448.3        1.2869     370.2         .55013
   .3  488.4         .87653    339.1         .41865
   .4  480.7         .52703    294.6         .29569
   .5  426.2         .28957    241.64        .20226
   .6  343.5         .17862    187.05        .14215
   .7  254.9         .1422     136.95        .10453
   .8  176.25        .11795     95.21        .077306
   .9  114.84        .09021     63.21        .054937
  1     71.34        .063196    40.35        .036772
  1.1   42.74        .041459    24.966       .023584
  1.2   24.98        .026884    15.134       .016038
  1.3   14.426       .019281     9.1         .01353
  1.4    8.365       .016647     5.524       .013459
  1.5    4.962       .016023     3.45        .013618
  1.6    3.075       .015571     2.2639      .013303
  1.7    2.0258      .014743     1.5809      .012503
  1.8    1.4324      .013522     1.1798      .011372
  1.9    1.0859      .012074      .9343      .010074
  2       .8717      .01053       .7745      .0087306
  2.1     .729       .0090111     .6626      .0074301
  2.2     .6278      .0075778     .5783      .0062217
  2.3     .5506      .006286      .5103      .0051419
  2.4     .4868      .0051411     .4521      .0041975
  2.5     .4319      .0041535     .4008      .0033919
  2.6     .3838      .0033213     .3548      .002715
  2.7     .3408      .0026304     .3133      .0021572
  2.8     .3016      .0020754     .2757      .0017057
  2.9     .2657      .0016341     .2416      .0013462
  3       .2332      .0012987     .211       .0010694
  3.1     .20405     .0010476     .18365    8.6319E-4
  3.2     .17796    8.6717E-4     .15936    7.1545E-4
  3.3     .15475    7.4056E-4     .1379     6.1315E-4
  3.4     .13423    6.5277E-4     .11902    5.433E-4
  3.5     .1162     5.9072E-4     .10253    4.9439E-4
  3.6     .1004     5.4327E-4     .08813    4.5723E-4
  3.7     .08658    5.0332E-4     .0756     4.2579E-4
  3.8     .07447    4.6648E-4     .06473    3.9629E-4
  3.9     .06386    4.3042E-4     .05531    3.6707E-4
  4       .05463    3.9457E-4     .04716    3.3748E-4
  4.1     .04664    3.5872E-4     .04014    3.0756E-4
  4.2     .03973    3.2329E-4     .03409    2.777E-4
  4.3     .03378    2.8878E-4     .02891    2.4839E-4
  4.4     .02868    2.5555E-4     .02446    2.2006E-4
  4.5     .02431    2.2415E-4     .020653   1.9321E-4
  4.6     .02054    1.9481E-4     .017401   1.6792E-4
  4.7     .017297   1.6759E-4     .014622   1.4454E-4
  4.8     .014526   1.4284E-4     .012256   1.2317E-4
  4.9     .012168   1.2055E-4     .010246   1.0396E-4
  5       .010162   1.0083E-4     .00854    8.69E-5
  5.1     .008462   8.3523E-5     .007095   7.1918E-5
  5.2     .007027   6.8604E-5     .005876   5.8938E-5
  5.3     .00582    5.5764E-5     .00485    4.7811E-5
  5.4     .004801   4.5002E-5     .003989   3.8423E-5
  5.5     .003941   3.6078E-5     .003268   3.0666E-5
  5.6     .003222   2.8935E-5     .002667   2.4394E-5
  5.7     .002627   2.329E-5      .0021704  1.9485E-5
  5.8     .002135   1.901E-5      .0017612  1.5791E-5
  5.9     .0017287  1.589E-5      .0014243  1.3153E-5
  6       .0013944  1.3748E-5     .0011481  1.1373E-5
  6.1     .0011206  1.2342E-5    9.225E-4   1.0229E-5
  6.2    8.97E-4    1.1408E-5    7.386E-4   9.4817E-6
  6.3    7.16E-4    1.0717E-5    5.895E-4   8.9362E-6
  6.4    5.707E-4   1.0113E-5    4.691E-4   8.4651E-6
  6.5    4.542E-4   9.5194E-6    3.723E-4   8.0019E-6
  6.6    3.609E-4   8.9118E-6    2.949E-4   7.5206E-6
  6.7    2.865E-4   8.283E-6     2.332E-4   7.0152E-6
  6.8    2.272E-4   7.6372E-6    1.8436E-4  6.4889E-6
  6.9    1.8029E-4  6.9802E-6    1.4594E-4  5.9479E-6
  7      1.4304E-4  6.3231E-6    1.1577E-4  5.4027E-6
  7.1    1.1374E-4  5.6739E-6    9.219E-5   4.8602E-6
  7.2    9.085E-5   5.0417E-6    7.378E-5   4.3287E-6
  7.3    7.303E-5   4.4364E-6    5.944E-5   3.8183E-6
  7.4    5.923E-5   3.8679E-6    4.831E-5   3.3363E-6
  7.5    4.866E-5   3.3467E-6    3.967E-5   2.8914E-6
