#Target-1 EMC_close	EMC_momfrac	EMC_ke		EMC_dens
b8	0.016824859780031072	0.05117443524602101	0.0024700008858346573	0.06915297457256005
b10_3p	0.02227723379593124	0.0702027278738043	0.0030457398895457253	0.08171619956207445
b11	0.02429559137549055	0.0791571572970109	0.0031779058078177424	0.0886245679013824
be8	0.023228765550753858	0.07074481023844391	0.002935317670117008	0.06145312355355435
be10_0p	0.021687593034268576	0.06270194943279969	0.0028229008887306587	0.08250773344925003
be12	0.023686102383329626	0.05752152706530909	0.0027010056118416228	0.07671115107575696
c12	0.026293196905615088	0.07993471035765315	0.0033399677373571433	0.09581898734404554
ca40_v18	0.030625466205892602	0.07003744334208829	0.0032560768098520406	0.11570203561740912
ca40	0.024924267221315223	0.07217360378850225	0.0030338718390535042	0.09189243585160693
h3	0.012773630975474301	0.0347888228162725	0.001638009549371698	0.10033966543253486
he3	0.010753792454408807	0.04477806420665851	0.0019004428251527025	0.09153361843521811
he4_v18	0.020577781971072944	0.05573480379101384	0.002421172683821826	0.14887428794292534
he4	0.022109649458125023	0.06810011342364992	0.002758507103639777	0.16804303071549226
he6	0.02135141983889818	0.04922542807707809	0.002174796459801148	0.06817896820076419
he8	0.02410350171518362	0.05480584804949791	0.002398723052640288	0.08182781233070104
he10	0.022828053640048956	0.05040349282785187	0.002181263937479244	0.05993779227680889
li6	0.017957847471870948	0.007123393401627507	0.0012041115455393577	0.05617175063936265
li7	0.02037120338446436	0.06239834022665356	0.0026224119173706654	0.06234825261536772
li8	0.02183810499157703	0.0664348486894327	0.0027650642573494788	0.0799740202485256
li9	0.024357696804708968	0.07001300005176264	0.0029415648547107	0.0929253224986179
li11	0.020373056420632946	0.054909079963155166	0.002360648690116265	0.06847468246562553
o16_v18	0.029259401104729844	0.06781198869879758	0.0031535632388897195	0.12246485843718131
o16	0.02393091322847235	0.06825038540701071	0.002888757317266243	0.09518248161096031
