#Target-1	A-2	Z-3	N-4	Average proton density-5	Average neutron density-6	Average density of nucleons sampled by protons-7	Average density of nucleons sampled by neutrons-8	Excluding scattered protons-9	Excluding scattered neutrons-10	Distance (dist)-11	Probability of a neutron to be within a certain distance (fm) of a proton-12	Probability of a proton to be within a certain distance (fm) of a proton-13	Probability of a neutron to be within a certain distance (fm) of a neutron-14	Momentum threshold-15	Fraction of protons with momenta above the momentum threshold (fig4)-16	Fraction of neutrons with momenta above the momentum threshold-17	Proton kinetic energy-18	Proton normalization-19	Neutron kinetic energy-20	Neutron normalization-21	fpclose-22	fnclose-23	Fpke-24	fnke-25
b8	8	5	3	0.03933419362488341	0.03556535910288714	0.06770060770815198	0.08284526779832595	0.0598300368894877	0.07098388372262908	1.0	0.034805525683627124	0.015119178851789573	0.023866100885193437	2.0	0.0488389274820801	0.07319260291330745	0.002423300649067489	2.9999755481307826	0.0029102707316892153	2.9999755481307826	0.016489329245803964	0.01998809805916551	0.002423300649067489	0.0029102707316892153
b10_3p	10	5	5	0.04085809978103666	0.04085809978103666	0.08171619956207332	0.08171619956207332	0.07354053636362046	0.07354053636362046	1.0	0.0316699452320092	0.016105652949814423	0.016105652949814423	2.0	0.07020272787380413	0.07020272787380413	0.0030464223283093437	4.999976029924955	0.003042228861315583	4.999976029924955	0.022277233795930367	0.022277233795930367	0.0030464223283093437	0.003042228861315583
b11	11	5	6	0.04139434796104303	0.04618831641731599	0.08923999743405871	0.08607192315235644	0.08095250381923236	0.07836348727257084	1.0	0.02997002442385719	0.015902495812949072	0.015292210004172167	2.0	0.0809018051458713	0.0719208029561232	0.0032124622781096	5.999992670774626	0.003034574381959694	5.999992670774626	0.024343012979493945	0.02409889865598318	0.0032124622781096	0.003034574381959694
be8	8	4	4	0.03072656177677671	0.03072656177677671	0.06145312355355343	0.06145312355355343	0.05376846759386135	0.05376846759386135	1.0	0.04145110062887184	0.022161084330680546	0.022161084330680546	2.0	0.07074481023844402	0.07074481023844402	0.002935975367306468	3.9999114551414716	0.0029319339329712205	3.9999114551414716	0.0232287655507529	0.0232287655507529	0.002935975367306468	0.0029319339329712205 #be8_0 for momentum
be10_0p	10	4	6	0.03588769785813092	0.04381764679641408	0.08415807419688583	0.07598391311909972	0.07517414482180819	0.06867437814920521	1.0	0.03118099944106319	0.021790428432352973	0.01452542625955876	2.0	0.05822874767946358	0.08038457926611124	0.002729838059860281	3.999985411939663	0.003190779568224224	3.999985411939663	0.025245728194343807	0.023066227542505542	0.002729838059860281	0.003190779568224224
be12	12	4	8	0.030265118433178608	0.04310547434978386	0.08043900857090279	0.06819069573227837	0.07287081683892423	0.06280152006311146	1.0	0.023474919792113812	0.019263021069526855	0.009704724953925768	2.0	0.04684515991626167	0.0819236158368056	0.002530942395159173	3.9995233610564154	0.003089705031063253	3.9995233610564154	0.024558842154549107	0.02169135331986878	0.002530942395159173	0.003089705031063253
c12	12	6	6	0.047909493672022546	0.047909493672022546	0.09581898734404509	0.09581898734404509	0.08782625695777996	0.08782625695777996	1.0	0.030683138725863875	0.015766627340192883	0.015766627340192883	2.0	0.0799347103576517	0.0799347103576517	0.003340716101805668	6.000038857225697	0.0033361175329932415	6.000038857225697	0.02629319690561477	0.02629319690561477	0.003340716101805668	0.0033361175329932415
ca40	40	20	20	0.04594621792580345	0.04594621792580345	0.09189243585160692	0.09189243585160692	0.08959474061234558	0.08959474061234558	1.0	0.00845340211844812	0.0042197173602202594	0.0042197173602202594	2.0	0.07217360378850214	0.07217360378850214	0.0030345516186225277	19.999646103489948	0.003030374491920395	19.999646103489948	0.024924267221314734	0.024924267221314734	0.0030345516186225277	0.003030374491920395
ca40_v18	40	20	20	0.05785101780870434	0.05785101780870434	0.11570203561740866	0.11570203561740866	0.11280874124809562	0.11280874124809562	1.0	0.010285995984326848	0.005291302230125552	0.005291302230125552	2.0	0.07003744334208784	0.07003744334208784	0.0032568063774170617	19.98619819070667	0.003252323312176286	19.98619819070667	0.030625466205892245	0.030625466205892245	0.0032568063774170617	0.003252323312176286
h3	3	1	2	0.03679713659367824	0.06039401889227521	0.1032746147220373	0.09363149475027374	0.06642889705657377	0.06339576711113669	1.0	0.06386815487736712	0.04541606416343093	0.04541606416343093	2.0	0.029644368937107507	0.046547075271225695	0.0014976337306255203	0.9999078515911078	0.0019588549401859776	0.9999078515911078	0.012773630975473424	0.012773630975473424	0.0014976337306255203	0.0019588549401859776
