# nucleus-1 mom_norm_p-2 mom_norm_n-3 highmom1-p-4 highmom2-p-5 highmom1-n-6 highmom2-n-7 KE_p-8 KE_n-9 KE_hm1_p-10  KE_hm2_p-11 KE_hm1_n-12 KE-hm2_n-13 dens_norm-14 dens-15 radius-16 dens2_pp_norm-17 dens2_np_norm-18 dens2_ppnear-19 dens2_npnear-20 label-21 z-22 n-23, dens2_nn_norm-24, dens_nnnear_25
  b10_3p     5.000     5.000     0.602     0.366     0.602     0.366   151.641   151.641    89.107    75.787    89.107    75.787     9.996     0.817     2.360    19.384    50.617     0.441     1.480     1     5     5    19.384     0.441  
     b11     5.000     6.000     0.679     0.422     0.739     0.450   159.909   181.515    99.162    84.591   106.834    90.504    10.995     0.963     2.383     9.998    29.994     0.160     0.906     1     5     6    14.997     0.231  
      b7     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.998     0.386     2.766     0.000     0.000     0.000     0.000     0     5     2     0.000     0.000  
      b8     5.000     3.000     0.419     0.254     0.354     0.229   120.623    87.037    61.669    52.402    53.355    46.234     7.996     0.587     2.338    10.001    14.999     0.152     0.526     0     5     3     2.999     0.072  
 be10_0p     4.000     6.000     0.530     0.335     0.614     0.364   163.060   127.237    89.764    75.713    80.178    69.082     9.996     0.793     2.394     6.000    23.997     0.132     0.755     0     4     6    15.001     0.219  
    be12     4.001     8.022     0.503     0.342     0.641     0.404   232.818   126.229   138.565   125.186    81.278    72.061    11.996     0.866     2.623     5.999    31.993     0.116     0.757     1     4     8    27.995     0.273  
     be6     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     5.998     0.329     2.630     5.998     7.998     0.104     0.335     1     4     2     1.000     0.058  
     be7     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.998     0.419     2.348     5.999    11.998     0.125     0.481     1     4     3     3.000     0.068  
    be7s     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.995     0.395     2.743     0.000     0.000     0.000     0.000     0     4     3     0.000     0.000  
     be8     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     7.999     0.491     2.377     6.000    15.997     0.134     0.669     1     4     4     6.000     0.134  
be8.av18uix     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     7.998     0.470     2.420     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
   be8_0     4.000     4.000     0.474     0.295     0.474     0.295   116.911   116.911    70.694    60.573    70.694    60.573     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
   be8_2     4.000     4.000     0.461     0.286     0.461     0.286   113.786   113.786    68.241    58.298    68.241    58.298     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
   be8_4     4.000     4.000     0.426     0.258     0.426     0.258   107.268   107.268    62.095    52.587    62.095    52.587     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
 be8_aa0     0.842     0.842     0.083     0.059     0.083     0.059    16.419    16.419     7.705     6.183     7.705     6.183     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
 be8_aa2     0.826     0.826     0.104     0.045     0.104     0.045    19.991    19.991     8.218     4.341     8.218     4.341     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
 be8_aa4     0.752     0.752     0.324     0.031     0.324     0.031    32.195    32.195    19.232     2.785    19.232     2.785     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     4     4     0.000     0.000  
     be9     4.000     5.000     0.477     0.303     0.513     0.313   118.678   135.073    72.490    62.637    76.192    64.878     8.998     0.607     2.418     5.999    20.000     0.130     0.693     1     4     5     9.997     0.161  
  c10_0p     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     9.994     0.788     2.402    14.996    23.993     0.219     0.756     0     6     4     6.000     0.132  
     c11     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    10.998     0.960     2.381    14.998    29.987     0.233     0.917     0     6     5     9.997     0.163  
     c12     6.000     6.000     0.809     0.499     0.809     0.499   199.550   199.550   123.272   105.817   123.272   105.817    11.998     1.150     2.367    14.997    35.995     0.238     1.114     1     6     6    14.997     0.238  
c12c.av18uix     6.000     6.000     1.022     0.610     1.022     0.610   227.594   227.594   149.407   126.157   149.407   126.157    11.996     1.176     2.349     0.000     0.000     0.000     0.000     0     6     6     0.000     0.000  
      c8     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     7.998     0.505     2.664    14.995    11.997     0.167     0.396     0     6     2     1.000     0.055  
      c9     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     8.996     0.752     2.346    14.996    17.996     0.223     0.594     0     6     3     3.000     0.076  
    ca40    20.000    20.000     2.049     1.498     2.049     1.498   604.063   604.063   348.809   316.971   348.809   316.971    39.994     3.675     3.531   190.135   399.757     0.801     3.382     1    20    20   190.135     0.801  
ca40_v18    19.982    19.982     2.249     1.449     2.249     1.449   647.855   647.855   361.951   317.532   361.951   317.532    39.993     4.627     3.265   189.855   400.115     1.004     4.121     0    20    20   189.855     1.004  
      h2     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     3.885     0.278     1.985     1.000     0.010     0.053     0.001     1     1     1     1.000     0.053  
      h3     1.000     2.000     0.082     0.049     0.102     0.063    29.820    19.526    14.975    12.726    11.295     9.428     2.997     0.290     1.703     1.000     2.000     0.046     0.129     1     1     2     1.000     0.046  
   h3_dn     1.349     1.349     0.016     0.005     0.016     0.005    10.580    10.580     1.327     0.712     1.327     0.712     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     1     2     0.000     0.000  
      h5     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     4.998     0.116     3.168     5.999     3.999     0.088     0.142     0     1     4     5.999     0.088  
    he10     2.000     8.000     0.254     0.164     0.316     0.197   112.447    59.510    48.508    41.764    38.817    33.691     9.997     0.458     3.359     1.000    15.997     0.055     0.398     0     2     8    28.005     0.169  
     he3     2.000     1.000     0.100     0.062     0.080     0.049    19.287    29.292    11.143     9.321    14.720    12.549     2.997     0.282     1.727     1.000     2.000     0.045     0.128     1     2     1     1.000     0.045  
     he4     2.000     2.000     0.228     0.142     0.228     0.142    54.938    54.938    33.937    29.076    33.937    29.076     3.995     0.671     1.441     0.999     3.998     0.063     0.320     1     2     2     0.999     0.063  
  he4_dd     1.626     1.626     0.037     0.004     0.037     0.004    20.212    20.212     2.424     0.670     2.424     0.670     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     2     2     0.000     0.000  
 he4_uix     2.000     2.000     0.231     0.145     0.231     0.145    55.142    55.142    34.237    29.360    34.237    29.360     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     2     2     0.000     0.000  
 he4_v18     2.000     2.000     0.187     0.117     0.187     0.117    48.218    48.218    28.202    24.197    28.202    24.197     3.995     0.595     1.517     1.000     3.997     0.058     0.298     0     2     2     1.000     0.058  
     he6     2.000     4.000     0.235     0.150     0.268     0.165    76.239    55.213    39.712    33.848    35.152    30.301     5.999     0.351     2.559     1.000     7.999     0.058     0.339     0     2     4     5.999     0.108  
     he7     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.997     0.407     2.699     0.000     0.000     0.000     0.000     0     2     5     0.000     0.000  
     he8     2.000     6.000     0.266     0.176     0.367     0.215   115.700    61.089    53.105    44.562    40.700    35.536     7.998     0.540     2.588     1.000    11.997     0.056     0.410     0     2     6    14.994     0.178  
    li11     3.000     8.000     0.343     0.217     0.412     0.262    81.894   138.218    50.034    42.838    61.891    53.351    10.996     0.640     2.918     3.000    23.998     0.067     0.516     0     3     8    27.989     0.205  
     li6     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     5.998     0.337     2.444     2.999     8.997     0.069     0.406     1     3     3     2.999     0.069  
 li6_ad1     0.866     0.866     0.058     0.008     0.058     0.008    10.383    10.383     3.535     0.768     3.535     0.768     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     3     0.000     0.000  
 li6_ad3     0.935     0.935     0.048     0.005     0.048     0.005    16.560    16.560     2.820     0.463     2.820     0.463     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     3     0.000     0.000  
    li6s     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     5.998     0.341     2.590     0.000     0.000     0.000     0.000     0     3     3     0.000     0.000  
     li7     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.997     0.420     2.344     2.999    11.999     0.068     0.483     1     3     4     6.000     0.125  
   li7_1     4.000     4.000     0.354     0.220     0.354     0.220    96.995    96.995    52.721    45.124    52.721    45.124     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
   li7_3     4.000     4.000     0.360     0.225     0.360     0.225    97.858    97.858    53.599    45.939    53.599    45.939     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
   li7_5     4.000     4.000     0.335     0.204     0.335     0.204    91.948    91.948    48.580    41.148    48.580    41.148     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
   li7_7     4.000     4.000     0.338     0.207     0.338     0.207    92.522    92.522    49.128    41.648    49.128    41.648     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
 li7_at1     0.982     0.982     0.232     0.054     0.232     0.054    23.723    23.723    15.764     5.323    15.764     5.323     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
 li7_at3     0.998     0.998     0.240     0.057     0.240     0.057    24.350    24.350    16.321     5.520    16.321     5.520     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
 li7_at5     0.952     0.952     0.245     0.025     0.245     0.025    32.959    32.959    14.492     2.335    14.492     2.335     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
 li7_at7     0.963     0.963     0.247     0.024     0.247     0.024    33.316    33.316    14.588     2.254    14.588     2.254     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
    li7s     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.997     0.399     2.724     0.000     0.000     0.000     0.000     0     3     4     0.000     0.000  
     li8     3.000     5.000     0.356     0.228     0.423     0.254    86.466   119.526    53.071    45.739    61.345    51.782     7.995     0.595     2.326     3.000    14.996     0.072     0.529     1     3     5     9.997     0.153  
     li9     3.000     6.000     0.389     0.249     0.523     0.297    93.738   149.015    59.273    51.359    75.284    62.692     8.995     0.766     2.328     3.000    18.004     0.077     0.602     0     3     6    14.998     0.228  
     o16     7.988     7.988     0.819     0.566     0.819     0.566   229.801   229.801   133.584   119.164   133.584   119.164    15.999     1.523     2.616    27.991    64.001     0.300     1.317     1     8     8    27.991     0.300  
 o16_v18     7.988     7.988     0.928     0.561     0.928     0.561   250.846   250.846   142.495   122.127   142.495   122.127    16.000     1.959     2.399    27.982    63.996     0.376     1.591     0     8     8    27.982     0.376  
