      h2     1     1 -3.2667e-03 1.0000e+00 -1.1379e-13 -1.0000e+00 -4.0000e-02 1.0010e+00 -1.0000e-03 1.0000e+00 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
      h3     1     2 -4.3367e-02 1.0014e+00 -1.2233e-02 1.0001e+00 -6.4667e-02 1.0000e+00 -1.7000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     he3     2     1 -3.2667e-02 9.9910e-01 -1.1000e-02 9.9988e-01 -6.3000e-02 1.0002e+00 -1.4667e-03 9.9994e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     he4     2     2 -7.0967e-02 9.9997e-01 -2.2333e-02 1.0000e+00 -1.2600e-01 1.0000e+00 -2.7000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     li8     3     5 -6.8933e-02 1.0020e+00 -2.0933e-02 1.0005e+00 -6.8000e-02 1.0006e+00 -2.7000e-03 1.0000e+00 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     be9     4     5 -7.2867e-02 1.0010e+00 -2.3067e-02 1.0003e+00 -6.3000e-02 1.0012e+00 -2.8667e-03 1.0000e+00 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
    be12     4     8 -7.4233e-02 1.0029e+00 -2.2000e-02 1.0007e+00 -6.9667e-02 1.0007e+00 -3.0000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
  b10_3p     5     5 -7.3133e-02 9.9997e-01 -2.3667e-02 9.9998e-01 -7.4000e-02 1.0000e+00 -3.0000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     b11     5     6 -8.2567e-02 1.0008e+00 -2.4300e-02 1.0002e+00 -8.0000e-02 1.0000e+00 -3.1333e-03 1.0000e+00 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     c12     6     6 -8.3233e-02 1.0000e+00 -2.6467e-02 9.9997e-01 -8.8667e-02 1.0003e+00 -3.3000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
     o16     8     8 -7.0867e-02 1.0000e+00 -2.4000e-02 1.0000e+00 -8.8000e-02 9.9944e-01 -2.8667e-03 1.0000e+00 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
    ca40    20    20 -7.4800e-02 9.9994e-01 -2.4867e-02 9.9997e-01 -9.0000e-02 1.0002e+00 -3.0000e-03 9.9998e-01 -3.2667e-03 -1.1379e-13 -4.0000e-02 -1.0000e-03 
